Place_Name,Total_Transactions_count,Total_Amount,Quarter,Year,State,MyIndex
south andaman district,48088,132855778.74838582,2,2020,andaman-&-nicobar-islands,28
nicobars district,3895,14341508.60470232,2,2020,andaman-&-nicobar-islands,29
north and middle andaman district,16747,33486883.37042555,3,2020,andaman-&-nicobar-islands,30
south andaman district,95323,282366109.2052393,3,2020,andaman-&-nicobar-islands,31
nicobars district,5413,22166453.75469538,3,2020,andaman-&-nicobar-islands,32
north and middle andaman district,29349,68941322.38839513,4,2020,andaman-&-nicobar-islands,33
south andaman district,186494,523122462.883029,4,2020,andaman-&-nicobar-islands,34
nicobars district,8688,35218871.04342849,4,2020,andaman-&-nicobar-islands,35
north and middle andaman district,27358,75027255.27919498,1,2021,andaman-&-nicobar-islands,36
south andaman district,207092,669604045.1248703,1,2021,andaman-&-nicobar-islands,37
nicobars district,10302,39075266.9856904,1,2021,andaman-&-nicobar-islands,38
north and middle andaman district,39200,90233388.79463302,2,2021,andaman-&-nicobar-islands,39
south andaman district,286907,760893020.5704944,2,2021,andaman-&-nicobar-islands,40
nicobars district,15307,48020606.74716837,2,2021,andaman-&-nicobar-islands,41
north and middle andaman district,46592,118254865.8275068,3,2021,andaman-&-nicobar-islands,42
south andaman district,382418,1116789010.645961,3,2021,andaman-&-nicobar-islands,43
nicobars district,20754,74980519.3281361,3,2021,andaman-&-nicobar-islands,44
north and middle andaman district,53115,156486112.2873243,4,2021,andaman-&-nicobar-islands,45
south andaman district,558571,1694794708.0093331,4,2021,andaman-&-nicobar-islands,46
nicobars district,24437,81329281.02699961,4,2021,andaman-&-nicobar-islands,47
north and middle andaman district,60059,161624878.52274162,1,2022,andaman-&-nicobar-islands,48
south andaman district,705512,1872991195.902684,1,2022,andaman-&-nicobar-islands,49
nicobars district,29177,94414127.64974087,1,2022,andaman-&-nicobar-islands,50
north and middle andaman district,72573,195693167.78757265,2,2022,andaman-&-nicobar-islands,51
south andaman district,954875,2357326563.362071,2,2022,andaman-&-nicobar-islands,52
nicobars district,43769,132900618.93062322,2,2022,andaman-&-nicobar-islands,53
north and middle andaman district,79574,211581970.34202647,3,2022,andaman-&-nicobar-islands,54
south andaman district,1455255,2967719400.849909,3,2022,andaman-&-nicobar-islands,55
nicobars district,49550,131330400.9454508,3,2022,andaman-&-nicobar-islands,56
north and middle andaman district,93297,241431284.3558103,4,2022,andaman-&-nicobar-islands,57
south andaman district,1835592,3600887266.099448,4,2022,andaman-&-nicobar-islands,58
nicobars district,58646,142355853.9735252,4,2022,andaman-&-nicobar-islands,59
east godavari district,943935,1235785515.599726,1,2018,andhra-pradesh,60
srikakulam district,458921,587778028.9183557,1,2018,andhra-pradesh,61
spsr nellore district,531612,676643237.8069417,1,2018,andhra-pradesh,62
vizianagaram district,420990,505783445.78162,1,2018,andhra-pradesh,63
visakhapatnam district,1256469,1749966196.5049942,1,2018,andhra-pradesh,64
prakasam district,534757,748990775.8676485,1,2018,andhra-pradesh,65
anantapur district,638664,788830646.0324218,1,2018,andhra-pradesh,66
ysr district,487333,681481931.0936775,1,2018,andhra-pradesh,67
west godavari district,577090,853547668.7532667,1,2018,andhra-pradesh,68
kurnool district,679623,764905298.7350456,1,2018,andhra-pradesh,69
chittoor district,830324,1009621878.0870508,1,2018,andhra-pradesh,70
guntur district,815932,1108686589.026682,1,2018,andhra-pradesh,71
krishna district,863935,1284255179.61562,1,2018,andhra-pradesh,72
east godavari district,1221677,2168914928.423901,2,2018,andhra-pradesh,73
srikakulam district,559868,929392017.3670052,2,2018,andhra-pradesh,74
spsr nellore district,780454,1542057934.010896,2,2018,andhra-pradesh,75
vizianagaram district,529588,811711367.5080049,2,2018,andhra-pradesh,76
visakhapatnam district,1641192,2987853607.2939086,2,2018,andhra-pradesh,77
prakasam district,739991,1571167562.1276271,2,2018,andhra-pradesh,78
anantapur district,937023,1690366079.055792,2,2018,andhra-pradesh,79
ysr district,690842,1415500367.686184,2,2018,andhra-pradesh,80
west godavari district,786033,1688025212.304594,2,2018,andhra-pradesh,81
kurnool district,968439,1531888665.684323,2,2018,andhra-pradesh,82
chittoor district,1185723,1990419125.893711,2,2018,andhra-pradesh,83
guntur district,1088101,2108475811.785996,2,2018,andhra-pradesh,84
krishna district,1224987,2448141593.4919834,2,2018,andhra-pradesh,85
east godavari district,3226907,3551247095.3074474,3,2018,andhra-pradesh,86
srikakulam district,1073883,1318322236.598471,3,2018,andhra-pradesh,87
spsr nellore district,1308890,2215938596.185108,3,2018,andhra-pradesh,88
vizianagaram district,970132,1163546006.895916,3,2018,andhra-pradesh,89
visakhapatnam district,3394576,4821892253.393524,3,2018,andhra-pradesh,90
prakasam district,1319651,2346453445.483843,3,2018,andhra-pradesh,91
anantapur district,1815215,2681787750.4641647,3,2018,andhra-pradesh,92
ysr district,1557444,2235904512.2542043,3,2018,andhra-pradesh,93
west godavari district,1431282,2309078492.805814,3,2018,andhra-pradesh,94
kurnool district,2921189,2908389261.539773,3,2018,andhra-pradesh,95
chittoor district,2297429,3283517630.720593,3,2018,andhra-pradesh,96
guntur district,1912529,3127764663.180438,3,2018,andhra-pradesh,97
krishna district,2396934,3754202654.384461,3,2018,andhra-pradesh,98
east godavari district,3052762,4652624623.436675,4,2018,andhra-pradesh,99
srikakulam district,1252807,1870278609.504549,4,2018,andhra-pradesh,100
spsr nellore district,1814997,3293448556.973445,4,2018,andhra-pradesh,101
vizianagaram district,1386787,1817673252.541776,4,2018,andhra-pradesh,102
visakhapatnam district,4791421,7366635864.849373,4,2018,andhra-pradesh,103
prakasam district,1692862,3255254226.03728,4,2018,andhra-pradesh,104
anantapur district,2286391,3975878156.3298287,4,2018,andhra-pradesh,105
ysr district,1732527,3252340063.247859,4,2018,andhra-pradesh,106
west godavari district,1688482,3237504255.4632454,4,2018,andhra-pradesh,107
kurnool district,2508530,3626544852.406924,4,2018,andhra-pradesh,108
chittoor district,3166201,4979093890.223491,4,2018,andhra-pradesh,109
guntur district,2546620,4730251217.69696,4,2018,andhra-pradesh,110
krishna district,2839161,5416251838.130406,4,2018,andhra-pradesh,111
east godavari district,5440146,7382264724.59952,1,2019,andhra-pradesh,112
srikakulam district,2526855,3407912878.415258,1,2019,andhra-pradesh,113
spsr nellore district,3333584,5161932216.216368,1,2019,andhra-pradesh,114
vizianagaram district,2798241,3364576948.2993007,1,2019,andhra-pradesh,115
visakhapatnam district,9690866,13459857440.55268,1,2019,andhra-pradesh,116
prakasam district,2931081,4807527779.215152,1,2019,andhra-pradesh,117
anantapur district,3891336,6044730653.191345,1,2019,andhra-pradesh,118
ysr district,2852197,4915811593.896078,1,2019,andhra-pradesh,119
west godavari district,2829437,4623764455.47309,1,2019,andhra-pradesh,120
kurnool district,4193432,5541564892.509683,1,2019,andhra-pradesh,121
chittoor district,6486813,8223371732.233584,1,2019,andhra-pradesh,122
guntur district,4846553,7765934169.404485,1,2019,andhra-pradesh,123
krishna district,5443981,9061346433.07268,1,2019,andhra-pradesh,124
east godavari district,4699261,9116404622.476513,2,2019,andhra-pradesh,125
srikakulam district,2019203,4066576539.936839,2,2019,andhra-pradesh,126
spsr nellore district,3141891,6880873007.482059,2,2019,andhra-pradesh,127
vizianagaram district,2272320,4443041665.039663,2,2019,andhra-pradesh,128
visakhapatnam district,11705738,20797479804.02907,2,2019,andhra-pradesh,129
prakasam district,2670529,6262396448.455349,2,2019,andhra-pradesh,130
anantapur district,3578836,7830782361.377665,2,2019,andhra-pradesh,131
ysr district,2606284,6376856828.130631,2,2019,andhra-pradesh,132
west godavari district,2402074,5676818258.955046,2,2019,andhra-pradesh,133
kurnool district,3895824,7358285187.018034,2,2019,andhra-pradesh,134
chittoor district,5983308,10982727976.22432,2,2019,andhra-pradesh,135
guntur district,5005275,10405246943.48149,2,2019,andhra-pradesh,136
krishna district,6428472,13437029115.62075,2,2019,andhra-pradesh,137
east godavari district,6537303,11387726470.57774,3,2019,andhra-pradesh,138
srikakulam district,2556296,4610131289.524039,3,2019,andhra-pradesh,139
spsr nellore district,4150195,8256600118.735449,3,2019,andhra-pradesh,140
vizianagaram district,2861581,4922069039.192161,3,2019,andhra-pradesh,141
visakhapatnam district,16694947,26944837120.04628,3,2019,andhra-pradesh,142
prakasam district,3430750,7354502261.15091,3,2019,andhra-pradesh,143
anantapur district,4889720,9554081289.488276,3,2019,andhra-pradesh,144
ysr district,3296586,7447544274.211781,3,2019,andhra-pradesh,145
west godavari district,3179541,6627629029.014131,3,2019,andhra-pradesh,146
kurnool district,5139134,9025632779.412457,3,2019,andhra-pradesh,147
chittoor district,8201783,13837455758.755262,3,2019,andhra-pradesh,148
guntur district,6942304,13075661264.18803,3,2019,andhra-pradesh,149
krishna district,8408474,16404073560.50078,3,2019,andhra-pradesh,150
east godavari district,9285739,16816774065.30131,4,2019,andhra-pradesh,151
srikakulam district,3712555,6832369301.879346,4,2019,andhra-pradesh,152
spsr nellore district,5877804,11786014089.19402,4,2019,andhra-pradesh,153
vizianagaram district,3998234,7175851807.068796,4,2019,andhra-pradesh,154
visakhapatnam district,23594874,39133296330.044624,4,2019,andhra-pradesh,155
prakasam district,4865473,10604077824.801031,4,2019,andhra-pradesh,156
anantapur district,6764112,13887248889.06406,4,2019,andhra-pradesh,157
ysr district,4793157,10865073855.73078,4,2019,andhra-pradesh,158
west godavari district,4596479,9710614747.20177,4,2019,andhra-pradesh,159
kurnool district,7001958,13233105728.54823,4,2019,andhra-pradesh,160
chittoor district,11246986,19298476027.87548,4,2019,andhra-pradesh,161
guntur district,9761330,18565626418.03591,4,2019,andhra-pradesh,162
krishna district,11719402,23039786404.04664,4,2019,andhra-pradesh,163
east godavari district,11346242,21854701379.42868,1,2020,andhra-pradesh,164
srikakulam district,4835092,9777575594.177538,1,2020,andhra-pradesh,165
spsr nellore district,7430247,15387829694.44686,1,2020,andhra-pradesh,166
vizianagaram district,5042066,9879174240.920494,1,2020,andhra-pradesh,167
visakhapatnam district,27115031,48809747614.67889,1,2020,andhra-pradesh,168
prakasam district,6318396,14169104764.52673,1,2020,andhra-pradesh,169
anantapur district,8466129,17864325752.82528,1,2020,andhra-pradesh,170
ysr district,6031255,14059924636.81991,1,2020,andhra-pradesh,171
west godavari district,5919670,12995834340.71623,1,2020,andhra-pradesh,172
kurnool district,8246869,17022710311.81304,1,2020,andhra-pradesh,173
chittoor district,13257740,23441848567.34419,1,2020,andhra-pradesh,174
guntur district,11493331,22992734620.64621,1,2020,andhra-pradesh,175
krishna district,12175289,24481702770.71471,1,2020,andhra-pradesh,176
east godavari district,13130334,26319906327.32029,2,2020,andhra-pradesh,177
srikakulam district,6425515,12153650076.87583,2,2020,andhra-pradesh,178
spsr nellore district,9454274,20665376460.772232,2,2020,andhra-pradesh,179
vizianagaram district,6690313,12819344389.54538,2,2020,andhra-pradesh,180
visakhapatnam district,25300401,48293889917.414375,2,2020,andhra-pradesh,181
prakasam district,8844580,19846026726.90433,2,2020,andhra-pradesh,182
anantapur district,10473739,22094006659.412502,2,2020,andhra-pradesh,183
ysr district,8033609,19597207268.13202,2,2020,andhra-pradesh,184
west godavari district,7273096,16585866855.15978,2,2020,andhra-pradesh,185
kurnool district,9821381,22419372061.80517,2,2020,andhra-pradesh,186
chittoor district,14848197,27361300300.01902,2,2020,andhra-pradesh,187
guntur district,12308707,27463593607.839104,2,2020,andhra-pradesh,188
krishna district,12313709,26964149095.36629,2,2020,andhra-pradesh,189
east godavari district,17972431,39300043804.758514,3,2020,andhra-pradesh,190
srikakulam district,8286289,18029574581.33742,3,2020,andhra-pradesh,191
spsr nellore district,16468209,39128324534.03022,3,2020,andhra-pradesh,192
vizianagaram district,8236703,17567816576.50126,3,2020,andhra-pradesh,193
visakhapatnam district,34421299,67628440368.111465,3,2020,andhra-pradesh,194
prakasam district,12266310,31221704852.44969,3,2020,andhra-pradesh,195
anantapur district,14447683,34102037972.65785,3,2020,andhra-pradesh,196
ysr district,11934653,32037007334.12973,3,2020,andhra-pradesh,197
west godavari district,10412351,25408608725.75429,3,2020,andhra-pradesh,198
kurnool district,13243292,32529351107.17173,3,2020,andhra-pradesh,199
chittoor district,20501863,42811566246.16463,3,2020,andhra-pradesh,200
guntur district,17601395,42531195809.75448,3,2020,andhra-pradesh,201
krishna district,19110457,44788458672.08444,3,2020,andhra-pradesh,202
east godavari district,25989490,58732615663.118416,4,2020,andhra-pradesh,203
srikakulam district,11092184,25222520275.27882,4,2020,andhra-pradesh,204
spsr nellore district,20934374,49115443663.37911,4,2020,andhra-pradesh,205
vizianagaram district,10580824,24094847668.44506,4,2020,andhra-pradesh,206
visakhapatnam district,46551467,91879823025.404,4,2020,andhra-pradesh,207
prakasam district,16176867,41852443493.51539,4,2020,andhra-pradesh,208
anantapur district,20996384,49732610814.26222,4,2020,andhra-pradesh,209
ysr district,15676878,42572974713.44026,4,2020,andhra-pradesh,210
west godavari district,15674762,40310975762.603455,4,2020,andhra-pradesh,211
kurnool district,18737323,44718203115.22612,4,2020,andhra-pradesh,212
chittoor district,29590411,61505711149.79541,4,2020,andhra-pradesh,213
guntur district,26136538,60641872021.254326,4,2020,andhra-pradesh,214
krishna district,27981050,64461504667.60723,4,2020,andhra-pradesh,215
east godavari district,26190701,60027984987.96951,1,2021,andhra-pradesh,216
srikakulam district,11160473,26486623313.092724,1,2021,andhra-pradesh,217
spsr nellore district,22541428,52210333201.53073,1,2021,andhra-pradesh,218
vizianagaram district,10514582,24153782497.24324,1,2021,andhra-pradesh,219
visakhapatnam district,48248923,95308386037.8472,1,2021,andhra-pradesh,220
prakasam district,15175395,41396223622.17477,1,2021,andhra-pradesh,221
anantapur district,20102957,48353870395.01808,1,2021,andhra-pradesh,222
ysr district,15374473,42570919448.50447,1,2021,andhra-pradesh,223
west godavari district,16015685,42124030669.36126,1,2021,andhra-pradesh,224
kurnool district,17918524,44941629659.56964,1,2021,andhra-pradesh,225
chittoor district,29342609,60947491846.66089,1,2021,andhra-pradesh,226
guntur district,27445045,64207987853.1084,1,2021,andhra-pradesh,227
krishna district,29717175,69715406644.53485,1,2021,andhra-pradesh,228
east godavari district,31717908,74604325863.66068,2,2021,andhra-pradesh,229
srikakulam district,13546232,32298129544.54086,2,2021,andhra-pradesh,230
spsr nellore district,30290406,72283071757.09679,2,2021,andhra-pradesh,231
vizianagaram district,12689494,29140685236.830723,2,2021,andhra-pradesh,232
visakhapatnam district,54390299,114439012713.3533,2,2021,andhra-pradesh,233
prakasam district,19944047,54535328043.04135,2,2021,andhra-pradesh,234
anantapur district,25123346,60987487571.27991,2,2021,andhra-pradesh,235
ysr district,18457361,52523527031.02133,2,2021,andhra-pradesh,236
west godavari district,20950964,57233116236.187965,2,2021,andhra-pradesh,237
kurnool district,21972396,56659287474.9958,2,2021,andhra-pradesh,238
chittoor district,34344902,73654690122.43158,2,2021,andhra-pradesh,239
guntur district,32968819,82356914463.83287,2,2021,andhra-pradesh,240
krishna district,36370960,90021923049.96454,2,2021,andhra-pradesh,241
east godavari district,39572714,89380370072.7078,3,2021,andhra-pradesh,242
srikakulam district,15639768,34836400769.87681,3,2021,andhra-pradesh,243
spsr nellore district,34411958,77839676988.30869,3,2021,andhra-pradesh,244
vizianagaram district,14510005,31383541628.21252,3,2021,andhra-pradesh,245
visakhapatnam district,69220981,136945652159.2651,3,2021,andhra-pradesh,246
prakasam district,24116580,63367713446.92805,3,2021,andhra-pradesh,247
anantapur district,30366444,70291248155.64975,3,2021,andhra-pradesh,248
ysr district,22439316,60683557724.65233,3,2021,andhra-pradesh,249
west godavari district,26245039,66647238455.1675,3,2021,andhra-pradesh,250
kurnool district,26377809,62527453761.59808,3,2021,andhra-pradesh,251
chittoor district,42628568,89371931753.04831,3,2021,andhra-pradesh,252
guntur district,41675093,96525353090.12306,3,2021,andhra-pradesh,253
krishna district,44828275,104417897558.5897,3,2021,andhra-pradesh,254
east godavari district,48992531,106725597026.00352,4,2021,andhra-pradesh,255
srikakulam district,18501857,39713657870.15512,4,2021,andhra-pradesh,256
spsr nellore district,41921081,92256405076.26547,4,2021,andhra-pradesh,257
vizianagaram district,17253059,36577529464.968704,4,2021,andhra-pradesh,258
visakhapatnam district,82711538,159530099772.73468,4,2021,andhra-pradesh,259
prakasam district,27858275,71323060008.47623,4,2021,andhra-pradesh,260
anantapur district,36129136,81239787006.64764,4,2021,andhra-pradesh,261
ysr district,26340348,69081850069.2033,4,2021,andhra-pradesh,262
west godavari district,33235175,81292461575.08183,4,2021,andhra-pradesh,263
kurnool district,31782248,73968947669.64754,4,2021,andhra-pradesh,264
chittoor district,51119640,103985734663.7351,4,2021,andhra-pradesh,265
guntur district,50919286,115553993673.1733,4,2021,andhra-pradesh,266
krishna district,55489829,125015323207.8983,4,2021,andhra-pradesh,267
east godavari district,54738830,121067103712.7956,1,2022,andhra-pradesh,268
srikakulam district,20990782,46898912115.649216,1,2022,andhra-pradesh,269
spsr nellore district,47645702,104895571602.1398,1,2022,andhra-pradesh,270
vizianagaram district,19278262,41994853361.58878,1,2022,andhra-pradesh,271
visakhapatnam district,88233362,170120350591.26,1,2022,andhra-pradesh,272
prakasam district,31340975,79494373254.71565,1,2022,andhra-pradesh,273
anantapur district,40613148,90197023268.43823,1,2022,andhra-pradesh,274
ysr district,29783739,78421693518.90942,1,2022,andhra-pradesh,275
west godavari district,37271259,92397939903.6094,1,2022,andhra-pradesh,276
kurnool district,35093633,81568420500.54749,1,2022,andhra-pradesh,277
chittoor district,58561024,117900595508.634,1,2022,andhra-pradesh,278
guntur district,57226996,129673727687.0894,1,2022,andhra-pradesh,279
krishna district,61826199,139690081529.49042,1,2022,andhra-pradesh,280
east godavari district,62072845,135531452997.63911,2,2022,andhra-pradesh,281
srikakulam district,23727353,53754764122.43269,2,2022,andhra-pradesh,282
spsr nellore district,54838708,121941082043.4948,2,2022,andhra-pradesh,283
vizianagaram district,21766135,47294745020.49564,2,2022,andhra-pradesh,284
visakhapatnam district,101387402,193242841582.1428,2,2022,andhra-pradesh,285
prakasam district,36163507,90435082545.97766,2,2022,andhra-pradesh,286
anantapur district,46099366,102138758015.7691,2,2022,andhra-pradesh,287
ysr district,33154559,87601310069.59737,2,2022,andhra-pradesh,288
west godavari district,44409239,107973244960.4282,2,2022,andhra-pradesh,289
kurnool district,40165692,92409350855.50198,2,2022,andhra-pradesh,290
chittoor district,67507661,136435445124.75612,2,2022,andhra-pradesh,291
guntur district,66315749,147098141568.7623,2,2022,andhra-pradesh,292
krishna district,73525814,163997729295.9313,2,2022,andhra-pradesh,293
east godavari district,61467134,129677722169.7482,3,2022,andhra-pradesh,294
srikakulam district,22126541,46899962921.785614,3,2022,andhra-pradesh,295
spsr nellore district,42116582,95099325968.25972,3,2022,andhra-pradesh,296
vizianagaram district,20440645,42513313394.84207,3,2022,andhra-pradesh,297
visakhapatnam district,97434546,181124419863.6144,3,2022,andhra-pradesh,298
prakasam district,35376080,87475230073.46388,3,2022,andhra-pradesh,299
anantapur district,45165363,97735649608.10074,3,2022,andhra-pradesh,300
ysr district,33119038,86016932181.12372,3,2022,andhra-pradesh,301
west godavari district,43635951,101706854744.31873,3,2022,andhra-pradesh,302
kurnool district,39557913,88415335176.31995,3,2022,andhra-pradesh,303
chittoor district,65751781,133053581631.6395,3,2022,andhra-pradesh,304
guntur district,65612317,141588522953.2377,3,2022,andhra-pradesh,305
krishna district,71051144,153770559025.69122,3,2022,andhra-pradesh,306
east godavari district,68016055,136531110139.8625,4,2022,andhra-pradesh,307
srikakulam district,23693779,47726411107.88629,4,2022,andhra-pradesh,308
spsr nellore district,42582064,92085916180.6851,4,2022,andhra-pradesh,309
vizianagaram district,22205190,44467386404.34759,4,2022,andhra-pradesh,310
visakhapatnam district,103790055,185306149744.73105,4,2022,andhra-pradesh,311
prakasam district,37211077,88105031866.36835,4,2022,andhra-pradesh,312
anantapur district,48299601,101533878537.2343,4,2022,andhra-pradesh,313
ysr district,35201596,87360426792.81667,4,2022,andhra-pradesh,314
west godavari district,47919930,105335724990.5932,4,2022,andhra-pradesh,315
kurnool district,43524766,94667441029.08344,4,2022,andhra-pradesh,316
chittoor district,70322534,136840859888.1815,4,2022,andhra-pradesh,317
guntur district,70723763,146938735166.5236,4,2022,andhra-pradesh,318
krishna district,76526667,157826011193.3544,4,2022,andhra-pradesh,319
lower dibang valley district,1356,1076236.814073793,1,2018,arunachal-pradesh,320
lower subansiri district,1477,3650727.893614269,1,2018,arunachal-pradesh,321
longding district,2321,4361531.578447229,1,2018,arunachal-pradesh,322
west siang district,1887,4796675.565399804,1,2018,arunachal-pradesh,323
kamle district,14,7971.330494807651,1,2018,arunachal-pradesh,324
upper siang district,126,186610.66988095015,1,2018,arunachal-pradesh,325
tirap district,945,1064265.0002443574,1,2018,arunachal-pradesh,326
papum pare district,14224,32555848.46233147,1,2018,arunachal-pradesh,327
kurung kumey district,84,99416.58027150274,1,2018,arunachal-pradesh,328
siang district,252,339471.80434222345,1,2018,arunachal-pradesh,329
lower siang district,1292,2337960.7148240386,1,2018,arunachal-pradesh,330
kra daadi district,207,495375.1454853307,1,2018,arunachal-pradesh,331
changlang district,3195,5380749.415278763,1,2018,arunachal-pradesh,332
anjaw district,0,0.0,1,2018,arunachal-pradesh,333
shi yomi district,0,0.0,1,2018,arunachal-pradesh,334
pakke kessang district,9,9131.4042057372,1,2018,arunachal-pradesh,335
dibang valley district,2,169.88856537681642,1,2018,arunachal-pradesh,336
west kameng district,5787,9540632.547015157,1,2018,arunachal-pradesh,337
east siang district,3286,5533620.186295529,1,2018,arunachal-pradesh,338
upper subansiri district,735,1358367.5018580484,1,2018,arunachal-pradesh,339
east kameng district,529,473824.76595106337,1,2018,arunachal-pradesh,340
lohit district,3747,11496949.54576835,1,2018,arunachal-pradesh,341
lepa rada district,288,403149.46702687367,1,2018,arunachal-pradesh,342
tawang district,2334,5055665.022950603,1,2018,arunachal-pradesh,343
namsai district,1400,2162984.705083958,1,2018,arunachal-pradesh,344
lower dibang valley district,1827,2561237.506207262,2,2018,arunachal-pradesh,345
lower subansiri district,1666,4113742.04406352,2,2018,arunachal-pradesh,346
longding district,4634,10271170.16552131,2,2018,arunachal-pradesh,347
west siang district,2579,7610989.567485569,2,2018,arunachal-pradesh,348
kamle district,12,23654.058373191845,2,2018,arunachal-pradesh,349
upper siang district,240,494895.0927715976,2,2018,arunachal-pradesh,350
tirap district,1903,3126393.764954633,2,2018,arunachal-pradesh,351
shi yomi district,0,0.0,2,2018,arunachal-pradesh,352
papum pare district,25363,66520931.20355792,2,2018,arunachal-pradesh,353
kurung kumey district,83,123737.2220411206,2,2018,arunachal-pradesh,354
anjaw district,7,7871.020814692305,2,2018,arunachal-pradesh,355
siang district,336,740232.6309634304,2,2018,arunachal-pradesh,356
lower siang district,2292,2179451.657976534,2,2018,arunachal-pradesh,357
kra daadi district,247,987135.9959717204,2,2018,arunachal-pradesh,358
changlang district,6066,13294258.50337311,2,2018,arunachal-pradesh,359
pakke kessang district,48,58359.57138935899,2,2018,arunachal-pradesh,360
dibang valley district,68,65769.2036735354,2,2018,arunachal-pradesh,361
west kameng district,10466,25521321.34140157,2,2018,arunachal-pradesh,362
east siang district,6363,15285584.202916931,2,2018,arunachal-pradesh,363
upper subansiri district,1285,2911910.368920728,2,2018,arunachal-pradesh,364
east kameng district,522,1825297.4617279812,2,2018,arunachal-pradesh,365
lohit district,6962,20520618.88189011,2,2018,arunachal-pradesh,366
lepa rada district,511,731444.7370576829,2,2018,arunachal-pradesh,367
tawang district,5447,13722374.81135791,2,2018,arunachal-pradesh,368
namsai district,3230,6271811.327635023,2,2018,arunachal-pradesh,369
lower dibang valley district,2824,6074558.207066888,3,2018,arunachal-pradesh,370
lower subansiri district,2346,5154231.737357968,3,2018,arunachal-pradesh,371
longding district,5288,18327334.05075552,3,2018,arunachal-pradesh,372
west siang district,3337,12966152.79251931,3,2018,arunachal-pradesh,373
kamle district,93,30504.94301319112,3,2018,arunachal-pradesh,374
upper siang district,250,743956.1055720671,3,2018,arunachal-pradesh,375
tirap district,3322,7479257.007852319,3,2018,arunachal-pradesh,376
papum pare district,43282,101080479.2917223,3,2018,arunachal-pradesh,377
kurung kumey district,255,303027.4066451341,3,2018,arunachal-pradesh,378
anjaw district,13,95403.67678261214,3,2018,arunachal-pradesh,379
siang district,615,2141734.499956036,3,2018,arunachal-pradesh,380
lower siang district,2625,3045590.882295873,3,2018,arunachal-pradesh,381
shi yomi district,0,0.0,3,2018,arunachal-pradesh,382
kra daadi district,436,1606758.4080739785,3,2018,arunachal-pradesh,383
changlang district,10162,20494174.9497154,3,2018,arunachal-pradesh,384
pakke kessang district,165,305164.81707575504,3,2018,arunachal-pradesh,385
dibang valley district,29,196466.66696677107,3,2018,arunachal-pradesh,386
west kameng district,17026,48528147.45054105,3,2018,arunachal-pradesh,387
east siang district,10539,24885270.773230053,3,2018,arunachal-pradesh,388
upper subansiri district,1601,4223297.613673143,3,2018,arunachal-pradesh,389
east kameng district,1029,3132863.590645522,3,2018,arunachal-pradesh,390
lohit district,11595,32702331.664437763,3,2018,arunachal-pradesh,391
lepa rada district,523,1777602.4370017413,3,2018,arunachal-pradesh,392
tawang district,8715,25733824.99410926,3,2018,arunachal-pradesh,393
namsai district,5076,10698272.7743813,3,2018,arunachal-pradesh,394
lower dibang valley district,4227,10951332.39393786,4,2018,arunachal-pradesh,395
lower subansiri district,3735,8884930.591487257,4,2018,arunachal-pradesh,396
longding district,6581,22545311.85089966,4,2018,arunachal-pradesh,397
west siang district,3813,14013986.24482587,4,2018,arunachal-pradesh,398
