Payment_Mode,Total_Transactions_count,Total_Amount,Quarter,Year,State
Financial Services,960,2038521.5136710338,2,2021,andaman-&-nicobar-islands
Others,1628,1327080.0560584562,2,2021,andaman-&-nicobar-islands
Peer-to-peer payments,192321,1077787837.156299,3,2021,andaman-&-nicobar-islands
Recharge & bill payments,136010,51243450.85925055,3,2021,andaman-&-nicobar-islands
Merchant payments,118340,176991328.21761322,3,2021,andaman-&-nicobar-islands
Financial Services,990,2351013.441729573,3,2021,andaman-&-nicobar-islands
Others,2103,1650766.1267105162,3,2021,andaman-&-nicobar-islands
Peer-to-peer payments,285778,1544932663.274458,4,2021,andaman-&-nicobar-islands
Merchant payments,210164,322842314.6243375,4,2021,andaman-&-nicobar-islands
Recharge & bill payments,135608,59243518.11464359,4,2021,andaman-&-nicobar-islands
Financial Services,1718,3137965.167474068,4,2021,andaman-&-nicobar-islands
Others,2855,2453640.142743944,4,2021,andaman-&-nicobar-islands
Peer-to-peer payments,342649,1682328505.725447,1,2022,andaman-&-nicobar-islands
Merchant payments,284298,370091558.683733,1,2022,andaman-&-nicobar-islands
Recharge & bill payments,163401,71300133.66101265,1,2022,andaman-&-nicobar-islands
Financial Services,1757,2869682.0229511866,1,2022,andaman-&-nicobar-islands
Others,2643,2440321.9820225406,1,2022,andaman-&-nicobar-islands
Merchant payments,449540,510838980.9061847,2,2022,andaman-&-nicobar-islands
Peer-to-peer payments,437606,2088309073.4552839,2,2022,andaman-&-nicobar-islands
Recharge & bill payments,179515,82232936.61795367,2,2022,andaman-&-nicobar-islands
Financial Services,1448,2089862.3927160464,2,2022,andaman-&-nicobar-islands
Others,3108,2449496.7081265687,2,2022,andaman-&-nicobar-islands
Merchant payments,716105,693438186.2965411,3,2022,andaman-&-nicobar-islands
Peer-to-peer payments,622217,2514535154.56483,3,2022,andaman-&-nicobar-islands
Recharge & bill payments,240766,97748065.62714244,3,2022,andaman-&-nicobar-islands
Financial Services,1814,2166304.9779766416,3,2022,andaman-&-nicobar-islands
Others,3477,2744060.670897343,3,2022,andaman-&-nicobar-islands
Merchant payments,956536,906365300.658504,4,2022,andaman-&-nicobar-islands
Peer-to-peer payments,768758,2961630584.8271313,4,2022,andaman-&-nicobar-islands
Recharge & bill payments,256050,110037119.6694117,4,2022,andaman-&-nicobar-islands
Financial Services,2499,3533987.2301130476,4,2022,andaman-&-nicobar-islands
Others,3692,3107412.043626394,4,2022,andaman-&-nicobar-islands
Recharge & bill payments,5027448,892293975.6698563,1,2018,andhra-pradesh
Peer-to-peer payments,3049646,10524250283.17878,1,2018,andhra-pradesh
Merchant payments,362672,247297640.2400068,1,2018,andhra-pradesh
Financial Services,204305,44808449.7639544,1,2018,andhra-pradesh
Others,395514,287626042.970705,1,2018,andhra-pradesh
Recharge & bill payments,6456387,1598591488.488035,2,2018,andhra-pradesh
Peer-to-peer payments,4745000,20451493098.895298,2,2018,andhra-pradesh
Merchant payments,604847,436785223.86032957,2,2018,andhra-pradesh
Financial Services,225621,68952114.81374599,2,2018,andhra-pradesh
Others,322063,328092346.575651,2,2018,andhra-pradesh
Peer-to-peer payments,16129591,32738630444.66872,3,2018,andhra-pradesh
Recharge & bill payments,7542005,1949098146.8941922,3,2018,andhra-pradesh
Merchant payments,1225416,685277254.5076212,3,2018,andhra-pradesh
Financial Services,380324,60790077.57437308,3,2018,andhra-pradesh
Others,348725,284248675.5700202,3,2018,andhra-pradesh
Peer-to-peer payments,17580086,47011639726.136086,4,2018,andhra-pradesh
Recharge & bill payments,9767083,2418164314.470957,4,2018,andhra-pradesh
Merchant payments,2622131,1671585888.5682561,4,2018,andhra-pradesh
Financial Services,400837,57178116.40322068,4,2018,andhra-pradesh
Others,389411,315211361.2624941,4,2018,andhra-pradesh
Peer-to-peer payments,37420988,77524329742.2595,1,2019,andhra-pradesh
Recharge & bill payments,14022264,3480641602.3771367,1,2019,andhra-pradesh
Merchant payments,5043682,2423536770.370634,1,2019,andhra-pradesh
Financial Services,416325,47150177.52982048,1,2019,andhra-pradesh
Others,361263,284937624.53930193,1,2019,andhra-pradesh
Peer-to-peer payments,32494402,103924649232.4702,2,2019,andhra-pradesh
Recharge & bill payments,14093964,4708345387.910109,2,2019,andhra-pradesh
Merchant payments,9226537,4613405202.681959,2,2019,andhra-pradesh
Financial Services,145310,26626696.77104253,2,2019,andhra-pradesh
Others,448802,361492238.3966455,2,2019,andhra-pradesh
Peer-to-peer payments,39023491,124338645329.5153,3,2019,andhra-pradesh
Recharge & bill payments,20147629,6893984676.5989065,3,2019,andhra-pradesh
Merchant payments,16581787,7887394038.066369,3,2019,andhra-pradesh
Financial Services,122270,29778183.02708044,3,2019,andhra-pradesh
Others,413437,298142027.5862577,3,2019,andhra-pradesh
Peer-to-peer payments,57181511,178893550050.6875,4,2019,andhra-pradesh
Merchant payments,25122370,13476303367.50486,4,2019,andhra-pradesh
Recharge & bill payments,24469888,8335168605.691999,4,2019,andhra-pradesh
Financial Services,105662,26796571.745749153,4,2019,andhra-pradesh
Others,338672,216496893.1610287,4,2019,andhra-pradesh
Peer-to-peer payments,65452143,223088554055.0475,1,2020,andhra-pradesh
Merchant payments,31408022,18603161784.49699,1,2020,andhra-pradesh
Recharge & bill payments,30449644,10813530777.97353,1,2020,andhra-pradesh
Financial Services,75238,43739133.169823855,1,2020,andhra-pradesh
Others,292310,188228538.3748976,1,2020,andhra-pradesh
Peer-to-peer payments,73609921,262731724130.7907,2,2020,andhra-pradesh
Recharge & bill payments,41013987,16991006436.573462,2,2020,andhra-pradesh
Merchant payments,29976765,22625596525.442688,2,2020,andhra-pradesh
Financial Services,140941,145274999.1567963,2,2020,andhra-pradesh
Others,176241,90087654.60009979,2,2020,andhra-pradesh
Peer-to-peer payments,106791894,406461788252.3205,3,2020,andhra-pradesh
Merchant payments,54055557,40739580213.86052,3,2020,andhra-pradesh
Recharge & bill payments,43500067,19475104674.82717,3,2020,andhra-pradesh
Financial Services,243088,256074924.7187529,3,2020,andhra-pradesh
Others,312329,151582519.1813668,3,2020,andhra-pradesh
Peer-to-peer payments,152003791,566639138543.7709,4,2020,andhra-pradesh
Merchant payments,86581460,66654048149.951675,4,2020,andhra-pradesh
Recharge & bill payments,46810304,20936337211.55774,4,2020,andhra-pradesh
Financial Services,265470,305168772.45601684,4,2020,andhra-pradesh
Others,457527,306853355.594738,4,2020,andhra-pradesh
Peer-to-peer payments,149313738,580542193013.0018,1,2021,andhra-pradesh
Merchant payments,97920281,70813192713.43477,1,2021,andhra-pradesh
Recharge & bill payments,41940689,20546424964.144817,1,2021,andhra-pradesh
Financial Services,225355,270313028.4845201,1,2021,andhra-pradesh
Others,347907,272546457.5502677,1,2021,andhra-pradesh
Peer-to-peer payments,189614879,737004484057.439,2,2021,andhra-pradesh
Merchant payments,112875274,88512429436.91249,2,2021,andhra-pradesh
Recharge & bill payments,49626902,24646800345.106968,2,2021,andhra-pradesh
Financial Services,243237,265483044.4012466,2,2021,andhra-pradesh
Others,406842,308302224.3856007,2,2021,andhra-pradesh
Peer-to-peer payments,221280317,837841124664.307,3,2021,andhra-pradesh
Merchant payments,158290953,118164377968.1675,3,2021,andhra-pradesh
Recharge & bill payments,51702350,27511344958.24361,3,2021,andhra-pradesh
Financial Services,211171,297239697.8307386,3,2021,andhra-pradesh
Others,547759,403948275.5675607,3,2021,andhra-pradesh
Peer-to-peer payments,262006450,971269765249.1283,4,2021,andhra-pradesh
Merchant payments,207538904,152883933596.5386,4,2021,andhra-pradesh
Recharge & bill payments,51762842,31232784713.98579,4,2021,andhra-pradesh
Financial Services,243951,332740108.6635881,4,2021,andhra-pradesh
Others,701856,545223415.6638832,4,2021,andhra-pradesh
Peer-to-peer payments,288488560,1089629182596.4779,1,2022,andhra-pradesh
Merchant payments,242031836,169419685917.19562,1,2022,andhra-pradesh
Recharge & bill payments,51224170,34473036841.83001,1,2022,andhra-pradesh
Financial Services,231651,324358965.1185906,1,2022,andhra-pradesh
Others,627694,474382234.25397474,1,2022,andhra-pradesh
Peer-to-peer payments,321362337,1231408926513.711,2,2022,andhra-pradesh
Merchant payments,292530048,205433660654.20892,2,2022,andhra-pradesh
Recharge & bill payments,56606969,42408541939.06145,2,2022,andhra-pradesh
Financial Services,192751,245783011.0445526,2,2022,andhra-pradesh
Others,441925,357036084.9071137,2,2022,andhra-pradesh
Peer-to-peer payments,298804000,1140164525892.739,3,2022,andhra-pradesh
Merchant payments,291033653,202910820650.0824,3,2022,andhra-pradesh
Recharge & bill payments,52467708,41438764826.203224,3,2022,andhra-pradesh
Financial Services,187190,239347241.5465504,3,2022,andhra-pradesh
Others,362484,323951101.5715289,3,2022,andhra-pradesh
Merchant payments,321632104,211898851397.0984,4,2022,andhra-pradesh
Peer-to-peer payments,315734006,1170249585983.011,4,2022,andhra-pradesh
Recharge & bill payments,52098850,41986837706.47902,4,2022,andhra-pradesh
Financial Services,206459,250596592.06465042,4,2022,andhra-pradesh
Others,345658,339211363.0027188,4,2022,andhra-pradesh
Recharge & bill payments,28729,5184132.514934338,1,2018,arunachal-pradesh
Peer-to-peer payments,13320,82889682.72418305,1,2018,arunachal-pradesh
Merchant payments,1042,2420374.1905855755,1,2018,arunachal-pradesh
Financial Services,416,58893.76201533088,1,2018,arunachal-pradesh
Others,1990,1834252.8176908877,1,2018,arunachal-pradesh
Recharge & bill payments,50700,10468878.53710718,2,2018,arunachal-pradesh
Peer-to-peer payments,26477,181576281.1946475,2,2018,arunachal-pradesh
Merchant payments,2378,4718953.439561011,2,2018,arunachal-pradesh
Financial Services,559,363761.80159549194,2,2018,arunachal-pradesh
Others,2043,1842317.3691352482,2,2018,arunachal-pradesh
Recharge & bill payments,74122,15997565.906016491,3,2018,arunachal-pradesh
Peer-to-peer payments,49740,308106303.4534257,3,2018,arunachal-pradesh
Merchant payments,4738,5505694.567913429,3,2018,arunachal-pradesh
Financial Services,507,72133.845254878,3,2018,arunachal-pradesh
Others,2039,2044708.9687807972,3,2018,arunachal-pradesh
Recharge & bill payments,97751,20662691.88231327,4,2018,arunachal-pradesh
Peer-to-peer payments,68169,468831493.23280364,4,2018,arunachal-pradesh
Merchant payments,7726,11998974.1040326,4,2018,arunachal-pradesh
Financial Services,561,100597.90379906222,4,2018,arunachal-pradesh
Others,2222,2446271.9688117937,4,2018,arunachal-pradesh
Recharge & bill payments,121303,26796894.99823331,1,2019,arunachal-pradesh
Peer-to-peer payments,93494,568554821.4456317,1,2019,arunachal-pradesh
Merchant payments,9214,11727218.401334241,1,2019,arunachal-pradesh
Financial Services,256,140622.87093631705,1,2019,arunachal-pradesh
Others,2239,2730548.5978140826,1,2019,arunachal-pradesh
Recharge & bill payments,131988,30420803.41271234,2,2019,arunachal-pradesh
Peer-to-peer payments,106527,704237943.4054435,2,2019,arunachal-pradesh
Merchant payments,16828,13955724.13071291,2,2019,arunachal-pradesh
Financial Services,267,160660.8821362781,2,2019,arunachal-pradesh
Others,3046,3880742.524023137,2,2019,arunachal-pradesh
Recharge & bill payments,216228,50946104.94289842,3,2019,arunachal-pradesh
Peer-to-peer payments,133484,841037395.2474606,3,2019,arunachal-pradesh
Merchant payments,16900,17178248.07427002,3,2019,arunachal-pradesh
Financial Services,864,64089.11350267195,3,2019,arunachal-pradesh
Others,2758,3419197.4177385764,3,2019,arunachal-pradesh
Recharge & bill payments,259183,63516906.09060433,4,2019,arunachal-pradesh
Peer-to-peer payments,177833,1100137447.934045,4,2019,arunachal-pradesh
Merchant payments,19769,23192271.69157681,4,2019,arunachal-pradesh
Financial Services,314,305379.7987782319,4,2019,arunachal-pradesh
Others,2376,3421174.01227797,4,2019,arunachal-pradesh
Recharge & bill payments,329834,86011654.77474582,1,2020,arunachal-pradesh
Peer-to-peer payments,203429,1263912288.406636,1,2020,arunachal-pradesh
Merchant payments,31181,28553052.13391879,1,2020,arunachal-pradesh
Financial Services,470,337812.94816169393,1,2020,arunachal-pradesh
Others,2261,2943873.0666838237,1,2020,arunachal-pradesh
Recharge & bill payments,522495,145198528.2296113,2,2020,arunachal-pradesh
Peer-to-peer payments,247861,1630654426.044183,2,2020,arunachal-pradesh
Merchant payments,35169,46446966.61244751,2,2020,arunachal-pradesh
Financial Services,1310,2655507.6964110374,2,2020,arunachal-pradesh
Others,1939,1761404.4023099935,2,2020,arunachal-pradesh
Recharge & bill payments,514907,153463816.2118439,3,2020,arunachal-pradesh
Peer-to-peer payments,370418,2361603431.37578,3,2020,arunachal-pradesh
Merchant payments,72736,88145178.69272713,3,2020,arunachal-pradesh
Financial Services,1761,4030599.9171272423,3,2020,arunachal-pradesh
Others,3005,2695539.3607389224,3,2020,arunachal-pradesh
Peer-to-peer payments,522019,3254744938.410562,4,2020,arunachal-pradesh
Recharge & bill payments,513895,152389181.2174306,4,2020,arunachal-pradesh
Merchant payments,167387,156682926.023846,4,2020,arunachal-pradesh
Financial Services,1749,2391651.8783250954,4,2020,arunachal-pradesh
Others,4079,4055324.315454754,4,2020,arunachal-pradesh
Peer-to-peer payments,566209,3460488558.9436502,1,2021,arunachal-pradesh
Recharge & bill payments,450649,142358376.9003836,1,2021,arunachal-pradesh
Merchant payments,155966,204958020.08914977,1,2021,arunachal-pradesh
Financial Services,1558,2672460.4740365944,1,2021,arunachal-pradesh
Others,3074,3301662.6094231335,1,2021,arunachal-pradesh
Peer-to-peer payments,762946,4000960152.0755486,2,2021,arunachal-pradesh
Recharge & bill payments,556680,165579844.2510589,2,2021,arunachal-pradesh
Merchant payments,243375,283709438.5363142,2,2021,arunachal-pradesh
Financial Services,1582,2761076.7934988844,2,2021,arunachal-pradesh
Others,3755,3415105.3379601175,2,2021,arunachal-pradesh
Peer-to-peer payments,986088,5033603845.032885,3,2021,arunachal-pradesh
Recharge & bill payments,600102,187390578.30403772,3,2021,arunachal-pradesh
Merchant payments,314658,449869060.7842621,3,2021,arunachal-pradesh
Financial Services,1934,3348547.8272713376,3,2021,arunachal-pradesh
Others,4185,3912143.3503634185,3,2021,arunachal-pradesh
Peer-to-peer payments,1227616,6022733378.120082,4,2021,arunachal-pradesh
Recharge & bill payments,633248,207784816.33218512,4,2021,arunachal-pradesh
Merchant payments,521447,704195694.9939187,4,2021,arunachal-pradesh
Financial Services,2386,3933557.2795471298,4,2021,arunachal-pradesh
Others,5901,4862905.885615055,4,2021,arunachal-pradesh
Peer-to-peer payments,1403584,6670641250.459451,1,2022,arunachal-pradesh
Merchant payments,720803,917155358.7177179,1,2022,arunachal-pradesh
Recharge & bill payments,670576,231933129.00412327,1,2022,arunachal-pradesh
Financial Services,3053,3359625.792926075,1,2022,arunachal-pradesh
Others,6052,5002264.113148138,1,2022,arunachal-pradesh
Peer-to-peer payments,1751568,7627061474.687716,2,2022,arunachal-pradesh
Merchant payments,1108353,1255513517.363942,2,2022,arunachal-pradesh
Recharge & bill payments,688770,241162643.1948015,2,2022,arunachal-pradesh
Financial Services,2466,4063469.0998270046,2,2022,arunachal-pradesh
Others,5768,3864269.879579009,2,2022,arunachal-pradesh
Peer-to-peer payments,1967086,7365427284.274203,3,2022,arunachal-pradesh
Merchant payments,1316326,1413247143.488991,3,2022,arunachal-pradesh
Recharge & bill payments,649322,238448083.8077975,3,2022,arunachal-pradesh
Financial Services,1997,4763324.776043448,3,2022,arunachal-pradesh
Others,4687,3224948.7015704075,3,2022,arunachal-pradesh
Peer-to-peer payments,2251135,7768088687.67791,4,2022,arunachal-pradesh
Merchant payments,1704968,1669602212.917463,4,2022,arunachal-pradesh
Recharge & bill payments,669151,239412553.6121468,4,2022,arunachal-pradesh
Financial Services,2617,3785469.3993366556,4,2022,arunachal-pradesh
Others,4838,4020773.8953960314,4,2022,arunachal-pradesh
Recharge & bill payments,632092,93491181.14056379,1,2018,assam
Peer-to-peer payments,318025,993525195.9818655,1,2018,assam
Merchant payments,40482,34501622.892667554,1,2018,assam
Financial Services,18172,4936862.200688562,1,2018,assam
Others,48110,31349593.99668264,1,2018,assam
Recharge & bill payments,984160,174427478.213408,2,2018,assam
Peer-to-peer payments,530781,2064314053.1339972,2,2018,assam
Merchant payments,79307,73366344.80739225,2,2018,assam
Financial Services,22773,7051504.657611102,2,2018,assam
Others,46852,31425754.72538605,2,2018,assam
Recharge & bill payments,1275136,254569069.32411742,3,2018,assam
Peer-to-peer payments,843571,3424136709.50882,3,2018,assam
Merchant payments,159532,96783839.37466942,3,2018,assam
Financial Services,22677,4741123.821880115,3,2018,assam
Others,50935,30904247.88478589,3,2018,assam
Recharge & bill payments,1703488,317661277.3470997,4,2018,assam
Peer-to-peer payments,1279089,5284776455.070784,4,2018,assam
Merchant payments,667293,240563395.2777939,4,2018,assam
Financial Services,28035,6331912.52655252,4,2018,assam
Others,56267,38689818.79087821,4,2018,assam
Recharge & bill payments,1993220,400281677.9438284,1,2019,assam
Peer-to-peer payments,1976310,7291433300.700248,1,2019,assam
Merchant payments,494871,266644645.7492942,1,2019,assam
Financial Services,20162,4612454.1127945455,1,2019,assam
Others,48442,39127457.94468763,1,2019,assam
Recharge & bill payments,2512932,539315772.8606573,2,2019,assam
Peer-to-peer payments,2293770,10035232820.852959,2,2019,assam
Merchant payments,573646,326844709.5879724,2,2019,assam
Financial Services,13654,4037222.414240564,2,2019,assam
Others,60927,49538663.41037582,2,2019,assam
Peer-to-peer payments,2713539,11835800855.17655,3,2019,assam
Recharge & bill payments,2645302,639885372.7480905,3,2019,assam
Merchant payments,513728,421380275.4207429,3,2019,assam
Financial Services,8606,6403456.344768786,3,2019,assam
Others,61396,46973660.73634353,3,2019,assam
Peer-to-peer payments,3222143,14083346879.36185,4,2019,assam
Recharge & bill payments,2937800,704118873.9720939,4,2019,assam
Merchant payments,544053,456318130.082201,4,2019,assam
Financial Services,9621,3492255.0860687294,4,2019,assam
Others,46893,34707757.00985589,4,2019,assam
Peer-to-peer payments,4058740,18977446151.76882,1,2020,assam
Recharge & bill payments,3897975,971722606.1579468,1,2020,assam
Merchant payments,792646,675423852.9512749,1,2020,assam
Financial Services,10173,7054325.507515656,1,2020,assam
Others,49326,36781411.34368035,1,2020,assam
Recharge & bill payments,6045321,1612522828.716347,2,2020,assam
Peer-to-peer payments,3648386,17358374071.26616,2,2020,assam
Merchant payments,742400,749018053.2400584,2,2020,assam
Financial Services,19814,18130004.68767226,2,2020,assam
Others,49278,28255168.009208795,2,2020,assam
Peer-to-peer payments,5637893,26646565777.439194,3,2020,assam
Recharge & bill payments,5292154,1627282415.945187,3,2020,assam
Merchant payments,1383230,1492484153.387315,3,2020,assam
Financial Services,24954,28452966.02637225,3,2020,assam
Others,59480,36605946.74600269,3,2020,assam
Peer-to-peer payments,7538478,36013292450.81438,4,2020,assam
Recharge & bill payments,5383505,1662189124.417745,4,2020,assam
Merchant payments,2392184,2466913305.59039,4,2020,assam
Financial Services,29764,32314809.97526103,4,2020,assam
Others,79523,51901628.46643049,4,2020,assam
Peer-to-peer payments,9449096,45476079487.104645,1,2021,assam
Recharge & bill payments,6494111,2103017761.5465329,1,2021,assam
Merchant payments,3459132,3657261586.200161,1,2021,assam
Financial Services,34049,41291047.383212395,1,2021,assam
Others,75672,48814663.88782827,1,2021,assam
Peer-to-peer payments,11668399,51521387890.612526,2,2021,assam
Recharge & bill payments,9058005,2657676415.2458973,2,2021,assam
Merchant payments,4562669,4914753140.040101,2,2021,assam
Financial Services,49671,46106001.4981417,2,2021,assam
Others,94161,52549929.26715793,2,2021,assam
Peer-to-peer payments,15617592,64131823895.23546,3,2021,assam
Recharge & bill payments,10284267,3248364164.198426,3,2021,assam
Merchant payments,7431371,8208706348.034584,3,2021,assam
Financial Services,39479,43889820.49598975,3,2021,assam
Others,131732,67715045.34317216,3,2021,assam
Peer-to-peer payments,21393962,86801625126.53499,4,2021,assam
Merchant payments,12895755,13378765005.90518,4,2021,assam
Recharge & bill payments,11484376,3842004488.3733187,4,2021,assam
Financial Services,60724,65456475.82619133,4,2021,assam
Others,185544,97116796.57575196,4,2021,assam
Peer-to-peer payments,27156085,108855352347.44861,1,2022,assam
Merchant payments,19011883,18833132506.02235,1,2022,assam
Recharge & bill payments,12474674,4424035840.366192,1,2022,assam
Financial Services,68432,73257991.39188361,1,2022,assam
Others,178812,94659207.47378007,1,2022,assam
Peer-to-peer payments,33879530,123829913105.31839,2,2022,assam
Merchant payments,28377534,24333260089.82686,2,2022,assam
Recharge & bill payments,13858113,4814695679.877083,2,2022,assam
Financial Services,50785,55549153.74320389,2,2022,assam
Others,168763,77624058.0178437,2,2022,assam
Peer-to-peer payments,37000266,127264703851.96631,3,2022,assam
Merchant payments,34935460,28789992307.1612,3,2022,assam
Recharge & bill payments,13974568,5295136932.037907,3,2022,assam
Financial Services,65066,62882386.459812224,3,2022,assam
Others,138451,76363577.2732331,3,2022,assam
Peer-to-peer payments,44828832,150693397669.1831,4,2022,assam
Merchant payments,43605784,36033810141.57484,4,2022,assam
Recharge & bill payments,15344794,5773980885.270762,4,2022,assam
Financial Services,74414,75960367.91633397,4,2022,assam
Others,127443,76370123.60102956,4,2022,assam
Recharge & bill payments,3159922,375559206.7727593,1,2018,bihar
Peer-to-peer payments,2052089,5295346761.4508295,1,2018,bihar
Financial Services,194295,33999413.87739952,1,2018,bihar
Merchant payments,138885,139827755.73655012,1,2018,bihar
Others,279111,201025034.1796018,1,2018,bihar
Recharge & bill payments,4346849,700649777.0602969,2,2018,bihar
Peer-to-peer payments,3447898,12141448845.07762,2,2018,bihar
Merchant payments,311487,318571872.8216527,2,2018,bihar
Financial Services,267433,45332532.09643286,2,2018,bihar
Others,258711,300128082.61604583,2,2018,bihar
Peer-to-peer payments,8893764,18695889187.89432,3,2018,bihar
Recharge & bill payments,4401439,804061398.5166464,3,2018,bihar
Merchant payments,586862,367608510.7261781,3,2018,bihar
Financial Services,274510,33276460.45213346,3,2018,bihar
Others,211229,234968821.3120635,3,2018,bihar
Peer-to-peer payments,8094296,26224303882.80399,4,2018,bihar
Recharge & bill payments,5469096,986310785.0093702,4,2018,bihar
Merchant payments,1680664,848968693.0665623,4,2018,bihar
Financial Services,237247,36199427.51318769,4,2018,bihar
Others,251098,302214380.1845841,4,2018,bihar
Peer-to-peer payments,16807040,38824078062.32093,1,2019,bihar
Recharge & bill payments,7036367,1333688182.5386739,1,2019,bihar
Merchant payments,2055267,1024996999.52793,1,2019,bihar
Financial Services,204689,28599535.73440934,1,2019,bihar
Others,252871,291464734.4043106,1,2019,bihar
Peer-to-peer payments,15837449,58381285240.80835,2,2019,bihar
Recharge & bill payments,9279442,1996804238.274975,2,2019,bihar
Merchant payments,4365465,2308145849.844257,2,2019,bihar
Financial Services,129603,63338108.53755434,2,2019,bihar
Others,348520,382864846.0767575,2,2019,bihar
