Place_Name,Registered_Users_Count,App_Openings,Quarter,Year,State
krishna district,833694,0,1,2019,andhra-pradesh
spsr nellore district,491908,0,1,2019,andhra-pradesh
vizianagaram district,313334,0,1,2019,andhra-pradesh
ysr district,460590,0,1,2019,andhra-pradesh
west godavari district,523372,0,1,2019,andhra-pradesh
chittoor district,812314,0,1,2019,andhra-pradesh
east godavari district,945181,7156762,2,2019,andhra-pradesh
srikakulam district,392764,3230330,2,2019,andhra-pradesh
visakhapatnam district,1318740,13681907,2,2019,andhra-pradesh
prakasam district,539462,4488365,2,2019,andhra-pradesh
anantapur district,695114,6056591,2,2019,andhra-pradesh
kurnool district,680118,6240480,2,2019,andhra-pradesh
guntur district,915256,7268875,2,2019,andhra-pradesh
krishna district,952300,7822632,2,2019,andhra-pradesh
spsr nellore district,558303,4774473,2,2019,andhra-pradesh
vizianagaram district,355058,3541678,2,2019,andhra-pradesh
ysr district,519031,4345848,2,2019,andhra-pradesh
west godavari district,592185,3853094,2,2019,andhra-pradesh
chittoor district,925491,8914216,2,2019,andhra-pradesh
east godavari district,1057167,28275322,3,2019,andhra-pradesh
srikakulam district,437939,11813195,3,2019,andhra-pradesh
visakhapatnam district,1460464,54836001,3,2019,andhra-pradesh
prakasam district,598568,16267041,3,2019,andhra-pradesh
anantapur district,773656,22845084,3,2019,andhra-pradesh
kurnool district,755024,22827473,3,2019,andhra-pradesh
guntur district,1026418,28477132,3,2019,andhra-pradesh
krishna district,1066546,30077671,3,2019,andhra-pradesh
spsr nellore district,619592,17768733,3,2019,andhra-pradesh
vizianagaram district,394375,13065845,3,2019,andhra-pradesh
ysr district,574109,15833900,3,2019,andhra-pradesh
west godavari district,662102,14227407,3,2019,andhra-pradesh
chittoor district,1032733,34638738,3,2019,andhra-pradesh
east godavari district,1195228,38299189,4,2019,andhra-pradesh
srikakulam district,496266,16353822,4,2019,andhra-pradesh
visakhapatnam district,1620235,70749983,4,2019,andhra-pradesh
prakasam district,673522,21639748,4,2019,andhra-pradesh
anantapur district,873033,30278539,4,2019,andhra-pradesh
kurnool district,846885,29676997,4,2019,andhra-pradesh
guntur district,1158708,37846179,4,2019,andhra-pradesh
krishna district,1199971,39407473,4,2019,andhra-pradesh
spsr nellore district,697154,23608360,4,2019,andhra-pradesh
vizianagaram district,443810,17515311,4,2019,andhra-pradesh
ysr district,646642,21543798,4,2019,andhra-pradesh
west godavari district,750078,19393528,4,2019,andhra-pradesh
chittoor district,1156351,44888591,4,2019,andhra-pradesh
east godavari district,1329664,46142746,1,2020,andhra-pradesh
srikakulam district,552007,20975989,1,2020,andhra-pradesh
visakhapatnam district,1763581,77558624,1,2020,andhra-pradesh
prakasam district,748655,26870693,1,2020,andhra-pradesh
anantapur district,971850,36900103,1,2020,andhra-pradesh
kurnool district,936293,34198350,1,2020,andhra-pradesh
guntur district,1289678,45282758,1,2020,andhra-pradesh
krishna district,1331602,46079408,1,2020,andhra-pradesh
spsr nellore district,775440,28879364,1,2020,andhra-pradesh
vizianagaram district,490683,21562104,1,2020,andhra-pradesh
ysr district,717865,26166193,1,2020,andhra-pradesh
west godavari district,843835,24542868,1,2020,andhra-pradesh
chittoor district,1270907,51354573,1,2020,andhra-pradesh
east godavari district,1459116,45884498,2,2020,andhra-pradesh
srikakulam district,608002,23808009,2,2020,andhra-pradesh
visakhapatnam district,1904719,69684456,2,2020,andhra-pradesh
prakasam district,830709,32255276,2,2020,andhra-pradesh
anantapur district,1076953,39704703,2,2020,andhra-pradesh
kurnool district,1035093,36268390,2,2020,andhra-pradesh
guntur district,1426271,44267596,2,2020,andhra-pradesh
krishna district,1459041,41234166,2,2020,andhra-pradesh
spsr nellore district,854459,30816403,2,2020,andhra-pradesh
vizianagaram district,537798,24370380,2,2020,andhra-pradesh
ysr district,796769,29644037,2,2020,andhra-pradesh
west godavari district,944829,26583613,2,2020,andhra-pradesh
chittoor district,1385916,49820171,2,2020,andhra-pradesh
east godavari district,1601940,64292857,3,2020,andhra-pradesh
srikakulam district,667858,31794753,3,2020,andhra-pradesh
visakhapatnam district,2058346,102589371,3,2020,andhra-pradesh
prakasam district,915240,44970519,3,2020,andhra-pradesh
anantapur district,1186851,55714787,3,2020,andhra-pradesh
kurnool district,1132240,49164718,3,2020,andhra-pradesh
guntur district,1567595,62427501,3,2020,andhra-pradesh
krishna district,1599289,61028114,3,2020,andhra-pradesh
spsr nellore district,937176,43951448,3,2020,andhra-pradesh
vizianagaram district,587784,31199437,3,2020,andhra-pradesh
ysr district,877909,41578067,3,2020,andhra-pradesh
west godavari district,1053674,38126238,3,2020,andhra-pradesh
chittoor district,1506503,69462572,3,2020,andhra-pradesh
east godavari district,1746280,82605352,4,2020,andhra-pradesh
srikakulam district,726761,36770992,4,2020,andhra-pradesh
visakhapatnam district,2209658,124730170,4,2020,andhra-pradesh
prakasam district,999462,52839846,4,2020,andhra-pradesh
anantapur district,1295872,69562398,4,2020,andhra-pradesh
kurnool district,1230466,60615045,4,2020,andhra-pradesh
guntur district,1712940,81291172,4,2020,andhra-pradesh
krishna district,1744028,81787771,4,2020,andhra-pradesh
spsr nellore district,1022944,54765443,4,2020,andhra-pradesh
vizianagaram district,634462,35110885,4,2020,andhra-pradesh
ysr district,959182,49596303,4,2020,andhra-pradesh
west godavari district,1163179,51170162,4,2020,andhra-pradesh
chittoor district,1631331,88232999,4,2020,andhra-pradesh
east godavari district,1878769,91478749,1,2021,andhra-pradesh
srikakulam district,782604,40590058,1,2021,andhra-pradesh
visakhapatnam district,2368081,135908324,1,2021,andhra-pradesh
prakasam district,1075936,56911479,1,2021,andhra-pradesh
anantapur district,1394849,73375049,1,2021,andhra-pradesh
kurnool district,1323411,65326230,1,2021,andhra-pradesh
guntur district,1843237,92731167,1,2021,andhra-pradesh
krishna district,1876458,92941553,1,2021,andhra-pradesh
spsr nellore district,1100541,60691988,1,2021,andhra-pradesh
vizianagaram district,681621,37752539,1,2021,andhra-pradesh
ysr district,1032689,53525815,1,2021,andhra-pradesh
west godavari district,1254117,57392671,1,2021,andhra-pradesh
chittoor district,1751420,99083825,1,2021,andhra-pradesh
east godavari district,2006272,84705076,2,2021,andhra-pradesh
srikakulam district,837958,43740255,2,2021,andhra-pradesh
visakhapatnam district,2526830,114313154,2,2021,andhra-pradesh
prakasam district,1151232,76850749,2,2021,andhra-pradesh
anantapur district,1492738,104568606,2,2021,andhra-pradesh
kurnool district,1415585,81894678,2,2021,andhra-pradesh
guntur district,1968681,88248064,2,2021,andhra-pradesh
krishna district,2002662,85771678,2,2021,andhra-pradesh
spsr nellore district,1176334,74049216,2,2021,andhra-pradesh
vizianagaram district,729509,42684475,2,2021,andhra-pradesh
ysr district,1103004,72255265,2,2021,andhra-pradesh
west godavari district,1339377,65118788,2,2021,andhra-pradesh
chittoor district,1870723,110505432,2,2021,andhra-pradesh
east godavari district,2150622,103626560,3,2021,andhra-pradesh
srikakulam district,902008,48622126,3,2021,andhra-pradesh
visakhapatnam district,2707931,139540800,3,2021,andhra-pradesh
prakasam district,1239147,91533813,3,2021,andhra-pradesh
anantapur district,1606735,124985545,3,2021,andhra-pradesh
kurnool district,1522196,101210508,3,2021,andhra-pradesh
guntur district,2110878,106621413,3,2021,andhra-pradesh
krishna district,2145423,104358295,3,2021,andhra-pradesh
spsr nellore district,1263550,90102349,3,2021,andhra-pradesh
vizianagaram district,784444,46277311,3,2021,andhra-pradesh
ysr district,1183377,86369956,3,2021,andhra-pradesh
west godavari district,1436576,80244808,3,2021,andhra-pradesh
chittoor district,2007011,135043395,3,2021,andhra-pradesh
east godavari district,2294347,142536856,4,2021,andhra-pradesh
srikakulam district,965335,61654215,4,2021,andhra-pradesh
visakhapatnam district,2888774,188757640,4,2021,andhra-pradesh
prakasam district,1325728,86410317,4,2021,andhra-pradesh
anantapur district,1719437,120768682,4,2021,andhra-pradesh
kurnool district,1628242,97379271,4,2021,andhra-pradesh
guntur district,2252443,130920743,4,2021,andhra-pradesh
krishna district,2288148,134436469,4,2021,andhra-pradesh
spsr nellore district,1349290,90814672,4,2021,andhra-pradesh
vizianagaram district,839606,56101822,4,2021,andhra-pradesh
ysr district,1262963,83534122,4,2021,andhra-pradesh
west godavari district,1532898,100007280,4,2021,andhra-pradesh
chittoor district,2141818,154395512,4,2021,andhra-pradesh
east godavari district,2432305,87134562,1,2022,andhra-pradesh
srikakulam district,1027283,46691467,1,2022,andhra-pradesh
visakhapatnam district,3061324,88803090,1,2022,andhra-pradesh
prakasam district,1408929,104851997,1,2022,andhra-pradesh
anantapur district,1827094,155792533,1,2022,andhra-pradesh
kurnool district,1729513,119653214,1,2022,andhra-pradesh
guntur district,2387051,88844052,1,2022,andhra-pradesh
krishna district,2423373,85871644,1,2022,andhra-pradesh
spsr nellore district,1431664,101671767,1,2022,andhra-pradesh
vizianagaram district,892889,44804002,1,2022,andhra-pradesh
ysr district,1339782,98878499,1,2022,andhra-pradesh
west godavari district,1626039,87642475,1,2022,andhra-pradesh
chittoor district,2270705,144146671,1,2022,andhra-pradesh
east godavari district,2564165,93383888,2,2022,andhra-pradesh
srikakulam district,1086164,51087942,2,2022,andhra-pradesh
visakhapatnam district,3226029,93552701,2,2022,andhra-pradesh
prakasam district,1487589,108172758,2,2022,andhra-pradesh
anantapur district,1928213,181499094,2,2022,andhra-pradesh
kurnool district,1825280,136447455,2,2022,andhra-pradesh
guntur district,2514794,91997209,2,2022,andhra-pradesh
krishna district,2552107,95341487,2,2022,andhra-pradesh
spsr nellore district,1509927,108755384,2,2022,andhra-pradesh
vizianagaram district,943242,50230853,2,2022,andhra-pradesh
ysr district,1412848,106157470,2,2022,andhra-pradesh
west godavari district,1714357,103338893,2,2022,andhra-pradesh
chittoor district,2392549,158771722,2,2022,andhra-pradesh
east godavari district,2702234,85780890,3,2022,andhra-pradesh
srikakulam district,1147016,46323107,3,2022,andhra-pradesh
visakhapatnam district,3397514,87888969,3,2022,andhra-pradesh
prakasam district,1567520,114185009,3,2022,andhra-pradesh
anantapur district,2030824,181038520,3,2022,andhra-pradesh
kurnool district,1924127,143715547,3,2022,andhra-pradesh
guntur district,2647100,91146114,3,2022,andhra-pradesh
krishna district,2685215,86220959,3,2022,andhra-pradesh
spsr nellore district,1588875,105928407,3,2022,andhra-pradesh
vizianagaram district,995141,46767889,3,2022,andhra-pradesh
ysr district,1487140,107976611,3,2022,andhra-pradesh
west godavari district,1805967,97509407,3,2022,andhra-pradesh
chittoor district,2517657,162524274,3,2022,andhra-pradesh
east godavari district,2835087,173720880,4,2022,andhra-pradesh
srikakulam district,1204785,72666058,4,2022,andhra-pradesh
visakhapatnam district,3566854,208604256,4,2022,andhra-pradesh
prakasam district,1642503,94432083,4,2022,andhra-pradesh
anantapur district,2128066,136685634,4,2022,andhra-pradesh
kurnool district,2018290,105333688,4,2022,andhra-pradesh
guntur district,2774365,144773169,4,2022,andhra-pradesh
krishna district,2813645,156902257,4,2022,andhra-pradesh
spsr nellore district,1663684,103101986,4,2022,andhra-pradesh
vizianagaram district,1044490,64406405,4,2022,andhra-pradesh
ysr district,1556901,93975668,4,2022,andhra-pradesh
west godavari district,1893310,129116752,4,2022,andhra-pradesh
chittoor district,2636036,189655966,4,2022,andhra-pradesh
lower subansiri district,498,0,1,2018,arunachal-pradesh
tirap district,557,0,1,2018,arunachal-pradesh
papum pare district,7649,0,1,2018,arunachal-pradesh
anjaw district,278,0,1,2018,arunachal-pradesh
lower siang district,270,0,1,2018,arunachal-pradesh
dibang valley district,66,0,1,2018,arunachal-pradesh
west kameng district,2202,0,1,2018,arunachal-pradesh
shi yomi district,49,0,1,2018,arunachal-pradesh
east kameng district,222,0,1,2018,arunachal-pradesh
lohit district,1207,0,1,2018,arunachal-pradesh
lepa rada district,210,0,1,2018,arunachal-pradesh
lower dibang valley district,601,0,1,2018,arunachal-pradesh
longding district,256,0,1,2018,arunachal-pradesh
west siang district,846,0,1,2018,arunachal-pradesh
kamle district,22,0,1,2018,arunachal-pradesh
upper siang district,301,0,1,2018,arunachal-pradesh
kurung kumey district,97,0,1,2018,arunachal-pradesh
siang district,192,0,1,2018,arunachal-pradesh
kra daadi district,88,0,1,2018,arunachal-pradesh
changlang district,1208,0,1,2018,arunachal-pradesh
pakke kessang district,39,0,1,2018,arunachal-pradesh
east siang district,1803,0,1,2018,arunachal-pradesh
upper subansiri district,572,0,1,2018,arunachal-pradesh
tawang district,1525,0,1,2018,arunachal-pradesh
namsai district,737,0,1,2018,arunachal-pradesh
lower subansiri district,724,0,2,2018,arunachal-pradesh
tirap district,856,0,2,2018,arunachal-pradesh
papum pare district,11418,0,2,2018,arunachal-pradesh
anjaw district,410,0,2,2018,arunachal-pradesh
lower siang district,494,0,2,2018,arunachal-pradesh
dibang valley district,112,0,2,2018,arunachal-pradesh
west kameng district,3442,0,2,2018,arunachal-pradesh
shi yomi district,80,0,2,2018,arunachal-pradesh
east kameng district,343,0,2,2018,arunachal-pradesh
lohit district,1898,0,2,2018,arunachal-pradesh
lepa rada district,318,0,2,2018,arunachal-pradesh
lower dibang valley district,893,0,2,2018,arunachal-pradesh
longding district,412,0,2,2018,arunachal-pradesh
west siang district,1224,0,2,2018,arunachal-pradesh
kamle district,37,0,2,2018,arunachal-pradesh
upper siang district,481,0,2,2018,arunachal-pradesh
kurung kumey district,153,0,2,2018,arunachal-pradesh
siang district,293,0,2,2018,arunachal-pradesh
kra daadi district,144,0,2,2018,arunachal-pradesh
changlang district,2014,0,2,2018,arunachal-pradesh
pakke kessang district,66,0,2,2018,arunachal-pradesh
east siang district,2646,0,2,2018,arunachal-pradesh
upper subansiri district,883,0,2,2018,arunachal-pradesh
tawang district,2266,0,2,2018,arunachal-pradesh
namsai district,1276,0,2,2018,arunachal-pradesh
lower subansiri district,1033,0,3,2018,arunachal-pradesh
tirap district,1226,0,3,2018,arunachal-pradesh
papum pare district,16009,0,3,2018,arunachal-pradesh
anjaw district,542,0,3,2018,arunachal-pradesh
lower siang district,717,0,3,2018,arunachal-pradesh
dibang valley district,145,0,3,2018,arunachal-pradesh
west kameng district,4765,0,3,2018,arunachal-pradesh
shi yomi district,118,0,3,2018,arunachal-pradesh
east kameng district,521,0,3,2018,arunachal-pradesh
lohit district,2612,0,3,2018,arunachal-pradesh
lepa rada district,431,0,3,2018,arunachal-pradesh
lower dibang valley district,1286,0,3,2018,arunachal-pradesh
longding district,644,0,3,2018,arunachal-pradesh
west siang district,1652,0,3,2018,arunachal-pradesh
kamle district,65,0,3,2018,arunachal-pradesh
upper siang district,646,0,3,2018,arunachal-pradesh
kurung kumey district,222,0,3,2018,arunachal-pradesh
siang district,373,0,3,2018,arunachal-pradesh
kra daadi district,190,0,3,2018,arunachal-pradesh
changlang district,2889,0,3,2018,arunachal-pradesh
pakke kessang district,103,0,3,2018,arunachal-pradesh
east siang district,3590,0,3,2018,arunachal-pradesh
upper subansiri district,1169,0,3,2018,arunachal-pradesh
tawang district,3112,0,3,2018,arunachal-pradesh
namsai district,1862,0,3,2018,arunachal-pradesh
lower subansiri district,1459,0,4,2018,arunachal-pradesh
tirap district,1684,0,4,2018,arunachal-pradesh
papum pare district,21342,0,4,2018,arunachal-pradesh
anjaw district,744,0,4,2018,arunachal-pradesh
lower siang district,936,0,4,2018,arunachal-pradesh
dibang valley district,178,0,4,2018,arunachal-pradesh
west kameng district,6492,0,4,2018,arunachal-pradesh
shi yomi district,144,0,4,2018,arunachal-pradesh
east kameng district,691,0,4,2018,arunachal-pradesh
lohit district,3588,0,4,2018,arunachal-pradesh
lepa rada district,548,0,4,2018,arunachal-pradesh
lower dibang valley district,1827,0,4,2018,arunachal-pradesh
longding district,923,0,4,2018,arunachal-pradesh
west siang district,2117,0,4,2018,arunachal-pradesh
kamle district,109,0,4,2018,arunachal-pradesh
upper siang district,868,0,4,2018,arunachal-pradesh
kurung kumey district,321,0,4,2018,arunachal-pradesh
siang district,483,0,4,2018,arunachal-pradesh
kra daadi district,255,0,4,2018,arunachal-pradesh
changlang district,4036,0,4,2018,arunachal-pradesh
pakke kessang district,138,0,4,2018,arunachal-pradesh
east siang district,4813,0,4,2018,arunachal-pradesh
upper subansiri district,1576,0,4,2018,arunachal-pradesh
tawang district,4085,0,4,2018,arunachal-pradesh
namsai district,2495,0,4,2018,arunachal-pradesh
lower subansiri district,1879,0,1,2019,arunachal-pradesh
tirap district,2082,0,1,2019,arunachal-pradesh
papum pare district,26298,0,1,2019,arunachal-pradesh
anjaw district,934,0,1,2019,arunachal-pradesh
lower siang district,1123,0,1,2019,arunachal-pradesh
dibang valley district,211,0,1,2019,arunachal-pradesh
west kameng district,8115,0,1,2019,arunachal-pradesh
shi yomi district,186,0,1,2019,arunachal-pradesh
east kameng district,876,0,1,2019,arunachal-pradesh
lohit district,4416,0,1,2019,arunachal-pradesh
lepa rada district,710,0,1,2019,arunachal-pradesh
lower dibang valley district,2314,0,1,2019,arunachal-pradesh
longding district,1152,0,1,2019,arunachal-pradesh
west siang district,2656,0,1,2019,arunachal-pradesh
kamle district,141,0,1,2019,arunachal-pradesh
upper siang district,1125,0,1,2019,arunachal-pradesh
kurung kumey district,385,0,1,2019,arunachal-pradesh
siang district,651,0,1,2019,arunachal-pradesh
kra daadi district,350,0,1,2019,arunachal-pradesh
changlang district,5210,0,1,2019,arunachal-pradesh
pakke kessang district,162,0,1,2019,arunachal-pradesh
east siang district,5899,0,1,2019,arunachal-pradesh
upper subansiri district,1906,0,1,2019,arunachal-pradesh
tawang district,5023,0,1,2019,arunachal-pradesh
namsai district,3153,0,1,2019,arunachal-pradesh
lower subansiri district,2463,11644,2,2019,arunachal-pradesh
tirap district,2697,12779,2,2019,arunachal-pradesh
papum pare district,32800,163673,2,2019,arunachal-pradesh
anjaw district,1175,4993,2,2019,arunachal-pradesh
lower siang district,1457,7737,2,2019,arunachal-pradesh
dibang valley district,241,258,2,2019,arunachal-pradesh
west kameng district,9782,73944,2,2019,arunachal-pradesh
shi yomi district,225,24,2,2019,arunachal-pradesh
east kameng district,1075,4146,2,2019,arunachal-pradesh
lohit district,5485,32550,2,2019,arunachal-pradesh
lepa rada district,903,4196,2,2019,arunachal-pradesh
lower dibang valley district,2842,12669,2,2019,arunachal-pradesh
longding district,1420,13256,2,2019,arunachal-pradesh
west siang district,3393,15972,2,2019,arunachal-pradesh
kamle district,212,972,2,2019,arunachal-pradesh
upper siang district,1372,2710,2,2019,arunachal-pradesh
kurung kumey district,481,2171,2,2019,arunachal-pradesh
siang district,831,3209,2,2019,arunachal-pradesh
kra daadi district,440,2639,2,2019,arunachal-pradesh
changlang district,6884,37725,2,2019,arunachal-pradesh
pakke kessang district,211,1237,2,2019,arunachal-pradesh
east siang district,7319,34596,2,2019,arunachal-pradesh
upper subansiri district,2355,9043,2,2019,arunachal-pradesh
tawang district,5908,32103,2,2019,arunachal-pradesh
namsai district,3914,18627,2,2019,arunachal-pradesh
lower subansiri district,2928,42877,3,2019,arunachal-pradesh
tirap district,3099,49222,3,2019,arunachal-pradesh
papum pare district,38845,582435,3,2019,arunachal-pradesh
anjaw district,1358,19509,3,2019,arunachal-pradesh
lower siang district,1689,25736,3,2019,arunachal-pradesh
dibang valley district,271,1436,3,2019,arunachal-pradesh
west kameng district,11186,260068,3,2019,arunachal-pradesh
shi yomi district,239,158,3,2019,arunachal-pradesh
east kameng district,1304,19974,3,2019,arunachal-pradesh
lohit district,6421,112322,3,2019,arunachal-pradesh
lepa rada district,1064,13695,3,2019,arunachal-pradesh
lower dibang valley district,3398,43057,3,2019,arunachal-pradesh
longding district,1634,46571,3,2019,arunachal-pradesh
west siang district,4101,64241,3,2019,arunachal-pradesh
kamle district,258,3686,3,2019,arunachal-pradesh
upper siang district,1486,8960,3,2019,arunachal-pradesh
kurung kumey district,572,8396,3,2019,arunachal-pradesh
siang district,948,13437,3,2019,arunachal-pradesh
kra daadi district,524,11363,3,2019,arunachal-pradesh
changlang district,8145,139098,3,2019,arunachal-pradesh
pakke kessang district,244,5099,3,2019,arunachal-pradesh
east siang district,8571,118071,3,2019,arunachal-pradesh
upper subansiri district,2748,35114,3,2019,arunachal-pradesh
tawang district,6553,114907,3,2019,arunachal-pradesh
namsai district,4563,72268,3,2019,arunachal-pradesh
lower subansiri district,3564,53396,4,2019,arunachal-pradesh
tirap district,3605,67097,4,2019,arunachal-pradesh
papum pare district,44746,670934,4,2019,arunachal-pradesh
anjaw district,1564,23729,4,2019,arunachal-pradesh
lower siang district,1921,28156,4,2019,arunachal-pradesh
dibang valley district,289,1738,4,2019,arunachal-pradesh
west kameng district,12562,313584,4,2019,arunachal-pradesh
shi yomi district,266,880,4,2019,arunachal-pradesh
east kameng district,1623,27850,4,2019,arunachal-pradesh
lohit district,7386,129353,4,2019,arunachal-pradesh
lepa rada district,1263,20798,4,2019,arunachal-pradesh
lower dibang valley district,3944,50034,4,2019,arunachal-pradesh
longding district,1847,48945,4,2019,arunachal-pradesh
west siang district,4773,70790,4,2019,arunachal-pradesh
