Brand_Name,Registered_Users_Count,Percentage_Share_of_Brand,Quarter,Year,State
Motorola,561,0.030167778016777003,1,2019,andaman-&-nicobar-islands
Apple,515,0.027694127769412002,1,2019,andaman-&-nicobar-islands
Huawei,515,0.027694127769412002,1,2019,andaman-&-nicobar-islands
Lenovo,426,0.022908152290815,1,2019,andaman-&-nicobar-islands
Others,1664,0.08948160894816001,1,2019,andaman-&-nicobar-islands
Xiaomi,5296,0.24370714647278002,2,2019,andaman-&-nicobar-islands
Samsung,4165,0.19166168146886903,2,2019,andaman-&-nicobar-islands
Vivo,4102,0.18876259721135702,2,2019,andaman-&-nicobar-islands
Oppo,1905,0.087662785881919,2,2019,andaman-&-nicobar-islands
Realme,1012,0.04656941696194301,2,2019,andaman-&-nicobar-islands
OnePlus,950,0.043716349914868,2,2019,andaman-&-nicobar-islands
Huawei,644,0.029635083521236002,2,2019,andaman-&-nicobar-islands
Motorola,630,0.028990842575123,2,2019,andaman-&-nicobar-islands
Apple,569,0.026183792738484,2,2019,andaman-&-nicobar-islands
Lenovo,477,0.021950209378307002,2,2019,andaman-&-nicobar-islands
Others,1981,0.09116009387510901,2,2019,andaman-&-nicobar-islands
Xiaomi,5819,0.24315741088964102,3,2019,andaman-&-nicobar-islands
Vivo,4685,0.19577117546278802,3,2019,andaman-&-nicobar-islands
Samsung,4508,0.188374911203042,3,2019,andaman-&-nicobar-islands
Oppo,2108,0.088086582257323,3,2019,andaman-&-nicobar-islands
Realme,1158,0.04838911871630901,3,2019,andaman-&-nicobar-islands
OnePlus,1045,0.043667209895115,3,2019,andaman-&-nicobar-islands
Huawei,725,0.030295432702352004,3,2019,andaman-&-nicobar-islands
Motorola,660,0.027579290460072,3,2019,andaman-&-nicobar-islands
Apple,630,0.026325686348251002,3,2019,andaman-&-nicobar-islands
Lenovo,483,0.020183026200325003,3,2019,andaman-&-nicobar-islands
Others,2110,0.088170155864777,3,2019,andaman-&-nicobar-islands
Xiaomi,6259,0.24110169491525402,4,2019,andaman-&-nicobar-islands
Vivo,5190,0.19992295839753402,4,2019,andaman-&-nicobar-islands
Samsung,4900,0.18875192604006102,4,2019,andaman-&-nicobar-islands
Oppo,2329,0.089714946070878,4,2019,andaman-&-nicobar-islands
Realme,1329,0.051194144838212004,4,2019,andaman-&-nicobar-islands
OnePlus,1124,0.043297380585516,4,2019,andaman-&-nicobar-islands
Huawei,798,0.030739599383667004,4,2019,andaman-&-nicobar-islands
Motorola,682,0.026271186440677004,4,2019,andaman-&-nicobar-islands
Apple,678,0.026117103235747,4,2019,andaman-&-nicobar-islands
Lenovo,488,0.01879815100154,4,2019,andaman-&-nicobar-islands
Others,2183,0.08409090909090901,4,2019,andaman-&-nicobar-islands
Xiaomi,6803,0.23981246474901202,1,2020,andaman-&-nicobar-islands
Vivo,5880,0.207275803722504,1,2020,andaman-&-nicobar-islands
Samsung,5335,0.188064015792442,1,2020,andaman-&-nicobar-islands
Oppo,2557,0.090136773829667,1,2020,andaman-&-nicobar-islands
Realme,1511,0.053264241398759,1,2020,andaman-&-nicobar-islands
OnePlus,1184,0.041737168640721,1,2020,andaman-&-nicobar-islands
Huawei,891,0.031408629441624,1,2020,andaman-&-nicobar-islands
Apple,735,0.025909475465313,1,2020,andaman-&-nicobar-islands
Motorola,715,0.025204455724760003,1,2020,andaman-&-nicobar-islands
Lenovo,500,0.017625493513818,1,2020,andaman-&-nicobar-islands
Others,2257,0.079561477721376,1,2020,andaman-&-nicobar-islands
Xiaomi,7805,0.23861204524610202,2,2020,andaman-&-nicobar-islands
Vivo,7122,0.21773158055640401,2,2020,andaman-&-nicobar-islands
Samsung,6030,0.18434729440538,2,2020,andaman-&-nicobar-islands
Oppo,2976,0.090981351268725,2,2020,andaman-&-nicobar-islands
Realme,1761,0.053836747172118005,2,2020,andaman-&-nicobar-islands
OnePlus,1271,0.038856618771018,2,2020,andaman-&-nicobar-islands
Huawei,1005,0.030724549067563004,2,2020,andaman-&-nicobar-islands
Apple,792,0.024212778966676,2,2020,andaman-&-nicobar-islands
Motorola,779,0.023815346988688,2,2020,andaman-&-nicobar-islands
Lenovo,552,0.016875573219199,2,2020,andaman-&-nicobar-islands
Others,2617,0.080006114338122,2,2020,andaman-&-nicobar-islands
Xiaomi,9794,0.23694205878795202,3,2020,andaman-&-nicobar-islands
Vivo,9556,0.23118422644248202,3,2020,andaman-&-nicobar-islands
Samsung,7572,0.18318616184831202,3,2020,andaman-&-nicobar-islands
Oppo,3730,0.090238296842869,3,2020,andaman-&-nicobar-islands
Realme,2285,0.055280029031087,3,2020,andaman-&-nicobar-islands
OnePlus,1440,0.034837304947381,3,2020,andaman-&-nicobar-islands
Huawei,1213,0.029345590903592,3,2020,andaman-&-nicobar-islands
Motorola,907,0.021942663602274003,3,2020,andaman-&-nicobar-islands
Apple,870,0.021047538405709002,3,2020,andaman-&-nicobar-islands
Lenovo,606,0.014660699165356,3,2020,andaman-&-nicobar-islands
Others,3362,0.081335430022982,3,2020,andaman-&-nicobar-islands
Xiaomi,12398,0.23662111611573403,4,2020,andaman-&-nicobar-islands
Vivo,12275,0.234273608672417,4,2020,andaman-&-nicobar-islands
Samsung,9938,0.18967096724940802,4,2020,andaman-&-nicobar-islands
Oppo,4723,0.09014046873807101,4,2020,andaman-&-nicobar-islands
Realme,2996,0.057179937399801005,4,2020,andaman-&-nicobar-islands
OnePlus,1638,0.03126192839148,4,2020,andaman-&-nicobar-islands
Huawei,1472,0.028093747614321003,4,2020,andaman-&-nicobar-islands
Motorola,1032,0.019696160012214,4,2020,andaman-&-nicobar-islands
Apple,973,0.018570119856477,4,2020,andaman-&-nicobar-islands
Lenovo,708,0.013512481868844002,4,2020,andaman-&-nicobar-islands
Others,4243,0.08097946408122701,4,2020,andaman-&-nicobar-islands
Vivo,13812,0.23913570414488003,1,2021,andaman-&-nicobar-islands
Xiaomi,13714,0.237438969493403,1,2021,andaman-&-nicobar-islands
Samsung,10861,0.18804321479275501,1,2021,andaman-&-nicobar-islands
Oppo,5158,0.08930364624813801,1,2021,andaman-&-nicobar-islands
Realme,3419,0.059195262993870006,1,2021,andaman-&-nicobar-islands
OnePlus,1773,0.030697046296616,1,2021,andaman-&-nicobar-islands
Huawei,1575,0.027268949755877,1,2021,andaman-&-nicobar-islands
Motorola,1062,0.018387063263963003,1,2021,andaman-&-nicobar-islands
Apple,1056,0.018283181550607,1,2021,andaman-&-nicobar-islands
Tecno,796,0.013781640638526,1,2021,andaman-&-nicobar-islands
Others,4532,0.078465320821358,1,2021,andaman-&-nicobar-islands
Vivo,15056,0.24246718737418402,2,2021,andaman-&-nicobar-islands
Xiaomi,14788,0.23815121990498403,2,2021,andaman-&-nicobar-islands
Samsung,11476,0.184813592076656,2,2021,andaman-&-nicobar-islands
Oppo,5456,0.08786536758193,2,2021,andaman-&-nicobar-islands
Realme,4034,0.064964973025203,2,2021,andaman-&-nicobar-islands
OnePlus,1981,0.031902729688380004,2,2021,andaman-&-nicobar-islands
Huawei,1559,0.025106691360012003,2,2021,andaman-&-nicobar-islands
Apple,1153,0.018568322731298003,2,2021,andaman-&-nicobar-islands
Motorola,1054,0.016973991464691,2,2021,andaman-&-nicobar-islands
Tecno,974,0.015685642966422,2,2021,andaman-&-nicobar-islands
Others,4564,0.07350028182623401,2,2021,andaman-&-nicobar-islands
Vivo,16411,0.245006121047445,3,2021,andaman-&-nicobar-islands
Xiaomi,15938,0.23794452240900502,3,2021,andaman-&-nicobar-islands
Samsung,12028,0.17957063091576803,3,2021,andaman-&-nicobar-islands
Oppo,5853,0.087381684631692,3,2021,andaman-&-nicobar-islands
Realme,4808,0.07178047833746301,3,2021,andaman-&-nicobar-islands
OnePlus,2306,0.034427159535397,3,2021,andaman-&-nicobar-islands
Huawei,1567,0.023394344749335,3,2021,andaman-&-nicobar-islands
Apple,1283,0.019154399689468003,3,2021,andaman-&-nicobar-islands
Tecno,1178,0.017586814368039,3,2021,andaman-&-nicobar-islands
Motorola,1017,0.015183183541847,3,2021,andaman-&-nicobar-islands
Others,4593,0.06857066077453601,3,2021,andaman-&-nicobar-islands
Vivo,17597,0.24515185288381103,4,2021,andaman-&-nicobar-islands
Xiaomi,16968,0.23638896628587303,4,2021,andaman-&-nicobar-islands
Samsung,12574,0.17517414321538002,4,2021,andaman-&-nicobar-islands
Oppo,6127,0.085358038450821,4,2021,andaman-&-nicobar-islands
Realme,5830,0.081220395653385,4,2021,andaman-&-nicobar-islands
OnePlus,2691,0.037489551407077,4,2021,andaman-&-nicobar-islands
Apple,1490,0.020757871273335,4,2021,andaman-&-nicobar-islands
Huawei,1459,0.020325996099191,4,2021,andaman-&-nicobar-islands
Tecno,1417,0.019740874895514002,4,2021,andaman-&-nicobar-islands
Motorola,1055,0.014697687378099001,4,2021,andaman-&-nicobar-islands
Others,4572,0.06369462245750901,4,2021,andaman-&-nicobar-islands
Vivo,18688,0.24496644295302003,1,2022,andaman-&-nicobar-islands
Xiaomi,17957,0.23538433305369102,1,2022,andaman-&-nicobar-islands
Samsung,12955,0.16981700922818702,1,2022,andaman-&-nicobar-islands
Realme,6769,0.088729551174496,1,2022,andaman-&-nicobar-islands
Oppo,6461,0.084692218959731,1,2022,andaman-&-nicobar-islands
OnePlus,3005,0.039390205536912005,1,2022,andaman-&-nicobar-islands
Tecno,1770,0.023201552013422003,1,2022,andaman-&-nicobar-islands
Apple,1634,0.021418833892617003,1,2022,andaman-&-nicobar-islands
Huawei,1441,0.018888947147651002,1,2022,andaman-&-nicobar-islands
Motorola,1050,0.013763632550335001,1,2022,andaman-&-nicobar-islands
Others,4558,0.059747273489932,1,2022,andaman-&-nicobar-islands
Xiaomi,836581,0.250739858232552,1,2018,andhra-pradesh
Samsung,683687,0.20491450493788302,1,2018,andhra-pradesh
Vivo,425959,0.127668330111345,1,2018,andhra-pradesh
Oppo,304487,0.091260771178947,1,2018,andhra-pradesh
Realme,236646,0.07092748280357801,1,2018,andhra-pradesh
Motorola,129739,0.038885342205038004,1,2018,andhra-pradesh
OnePlus,129421,0.038790031320715006,1,2018,andhra-pradesh
Apple,123274,0.036947653943562,1,2018,andhra-pradesh
Lenovo,84138,0.025217821337049,1,2018,andhra-pradesh
Huawei,76654,0.022974718638073002,1,2018,andhra-pradesh
Others,305864,0.09167348529125201,1,2018,andhra-pradesh
Xiaomi,1113800,0.252990319224811,2,2018,andhra-pradesh
Samsung,903290,0.20517474003643302,2,2018,andhra-pradesh
Vivo,586965,0.13332417195528,2,2018,andhra-pradesh
Oppo,410549,0.093252758634788,2,2018,andhra-pradesh
Realme,305964,0.069497153915694,2,2018,andhra-pradesh
Motorola,169847,0.038579320119749,2,2018,andhra-pradesh
OnePlus,155418,0.035301893906699,2,2018,andhra-pradesh
Apple,151847,0.034490771236604004,2,2018,andhra-pradesh
Lenovo,107441,0.024404321141886003,2,2018,andhra-pradesh
Huawei,102929,0.023379458221844,2,2018,andhra-pradesh
Others,394490,0.08960509160620901,2,2018,andhra-pradesh
Xiaomi,1385112,0.25519707820209103,3,2018,andhra-pradesh
Samsung,1103186,0.20325420898342603,3,2018,andhra-pradesh
Vivo,761793,0.140354966092854,3,2018,andhra-pradesh
Oppo,518120,0.09545994125967201,3,2018,andhra-pradesh
Realme,379712,0.069959247308717,3,2018,andhra-pradesh
Motorola,203756,0.037540600230266,3,2018,andhra-pradesh
OnePlus,181364,0.033415032785106005,3,2018,andhra-pradesh
Apple,175343,0.032305706169024,3,2018,andhra-pradesh
Huawei,134429,0.024767591375736003,3,2018,andhra-pradesh
Lenovo,122489,0.022567730921323,3,2018,andhra-pradesh
Others,462313,0.08517789667178001,3,2018,andhra-pradesh
Xiaomi,1753802,0.25575286525858304,4,2018,andhra-pradesh
Samsung,1388061,0.20241770616277902,4,2018,andhra-pradesh
Vivo,1011185,0.147458755923702,4,2018,andhra-pradesh
Oppo,675093,0.09844724151643801,4,2018,andhra-pradesh
Realme,476746,0.069522759981211,4,2018,andhra-pradesh
Motorola,250601,0.036544560780901,4,2018,andhra-pradesh
OnePlus,210161,0.030647289668736002,4,2018,andhra-pradesh
Apple,209737,0.030585458735216002,4,2018,andhra-pradesh
Huawei,176237,0.025700231676424,4,2018,andhra-pradesh
Lenovo,149583,0.021813340869707,4,2018,andhra-pradesh
Others,556203,0.08110978942629701,4,2018,andhra-pradesh
Xiaomi,2110547,0.25480407566371605,1,2019,andhra-pradesh
Samsung,1688342,0.20383171884550702,1,2019,andhra-pradesh
Vivo,1262871,0.152465061350215,1,2019,andhra-pradesh
Oppo,835541,0.10087396877877401,1,2019,andhra-pradesh
Realme,564832,0.068191561555032,1,2019,andhra-pradesh
Motorola,291830,0.035232322900623,1,2019,andhra-pradesh
Apple,241108,0.029108710242002,1,2019,andhra-pradesh
OnePlus,237269,0.028645231889483,1,2019,andhra-pradesh
Huawei,220082,0.02657026381323,1,2019,andhra-pradesh
Lenovo,171471,0.020701509920477,1,2019,andhra-pradesh
Others,659126,0.079575575040936,1,2019,andhra-pradesh
Xiaomi,2389374,0.25448644547243104,2,2019,andhra-pradesh
Samsung,1914378,0.203895770402885,2,2019,andhra-pradesh
Vivo,1466695,0.156214136900371,2,2019,andhra-pradesh
Oppo,963352,0.102604291424765,2,2019,andhra-pradesh
Realme,641519,0.06832663702418601,2,2019,andhra-pradesh
Motorola,324778,0.034591319227398006,2,2019,andhra-pradesh
Apple,264860,0.028209597973288,2,2019,andhra-pradesh
OnePlus,254273,0.027082002210458003,2,2019,andhra-pradesh
Huawei,250859,0.026718385328026003,2,2019,andhra-pradesh
Lenovo,189151,0.020146015503456002,2,2019,andhra-pradesh
Others,729764,0.07772539853273,2,2019,andhra-pradesh
Xiaomi,2656468,0.25399617332682,3,2019,andhra-pradesh
Samsung,2123659,0.203052044839637,3,2019,andhra-pradesh
Vivo,1674109,0.16006866249922402,3,2019,andhra-pradesh
Oppo,1087660,0.103995786089141,3,2019,andhra-pradesh
Realme,727964,0.069603725819277,3,2019,andhra-pradesh
Motorola,348910,0.033360765059266,3,2019,andhra-pradesh
Apple,286412,0.027385066183700003,3,2019,andhra-pradesh
Huawei,282587,0.027019341709332,3,2019,andhra-pradesh
OnePlus,271100,0.025921020915328,3,2019,andhra-pradesh
Lenovo,194180,0.018566373446471003,3,2019,andhra-pradesh
Others,805644,0.07703104011179901,3,2019,andhra-pradesh
Xiaomi,2985953,0.25395328393725203,4,2019,andhra-pradesh
Samsung,2379139,0.20234416348589201,4,2019,andhra-pradesh
Vivo,1922141,0.16347679254845401,4,2019,andhra-pradesh
Oppo,1241235,0.10556619758846,4,2019,andhra-pradesh
Realme,844668,0.07183844234544601,4,2019,andhra-pradesh
Motorola,381692,0.032462646549553005,4,2019,andhra-pradesh
Huawei,317290,0.026985299989802,4,2019,andhra-pradesh
Apple,308354,0.026225299231162003,4,2019,andhra-pradesh
OnePlus,286412,0.024359146965486002,4,2019,andhra-pradesh
Lenovo,208785,0.017757023096759,4,2019,andhra-pradesh
Others,882214,0.075031704261728,4,2019,andhra-pradesh
Xiaomi,3307542,0.25399529721104,1,2020,andhra-pradesh
Samsung,2622762,0.20140914724705603,1,2020,andhra-pradesh
Vivo,2165012,0.16625725883615902,1,2020,andhra-pradesh
Oppo,1387060,0.106516173324343,1,2020,andhra-pradesh
Realme,960418,0.07375315426284301,1,2020,andhra-pradesh
Motorola,411062,0.031566587774898,1,2020,andhra-pradesh
Huawei,348324,0.026748763252511003,1,2020,andhra-pradesh
Apple,329329,0.025290084671703003,1,2020,andhra-pradesh
OnePlus,298911,0.022954202330506,1,2020,andhra-pradesh
Lenovo,227154,0.01744378385601,1,2020,andhra-pradesh
Others,964486,0.07406554723292601,1,2020,andhra-pradesh
Xiaomi,3635594,0.253888024693297,2,2020,andhra-pradesh
Samsung,2888149,0.201690960164947,2,2020,andhra-pradesh
Vivo,2409399,0.16825793881495202,2,2020,andhra-pradesh
Oppo,1535129,0.107204178865791,2,2020,andhra-pradesh
Realme,1072165,0.07487355683700901,2,2020,andhra-pradesh
Motorola,445380,0.031102661198665,2,2020,andhra-pradesh
Huawei,379220,0.026482444608554003,2,2020,andhra-pradesh
Apple,348938,0.024367731809555003,2,2020,andhra-pradesh
OnePlus,309208,0.021593227499925,2,2020,andhra-pradesh
Lenovo,243288,0.016989771066731,2,2020,andhra-pradesh
Others,1053205,0.073549504440568,2,2020,andhra-pradesh
Xiaomi,3978789,0.25354870716120304,3,2020,andhra-pradesh
Samsung,3154020,0.20099022425179502,3,2020,andhra-pradesh
Vivo,2687996,0.17129280056180002,3,2020,andhra-pradesh
Oppo,1695723,0.10806010933314501,3,2020,andhra-pradesh
Realme,1207622,0.07695582671999601,3,2020,andhra-pradesh
Motorola,477313,0.030416816287879,3,2020,andhra-pradesh
Huawei,408520,0.026032975824929003,3,2020,andhra-pradesh
Apple,370327,0.023599123270142002,3,2020,andhra-pradesh
OnePlus,322028,0.020521264904901002,3,2020,andhra-pradesh
Lenovo,260912,0.016626641996558,3,2020,andhra-pradesh
Others,1129155,0.07195550968764801,3,2020,andhra-pradesh
Xiaomi,4325662,0.253309843050988,4,2020,andhra-pradesh
Samsung,3419866,0.200266622707786,4,2020,andhra-pradesh
Vivo,2950572,0.17278486627726303,4,2020,andhra-pradesh
Oppo,1856052,0.10869000879275101,4,2020,andhra-pradesh
Realme,1361491,0.079728622237551,4,2020,andhra-pradesh
Motorola,506158,0.029640504398864002,4,2020,andhra-pradesh
Huawei,437125,0.025597946659647004,4,2020,andhra-pradesh
Apple,394191,0.023083740787447002,4,2020,andhra-pradesh
OnePlus,336518,0.019706422222502,4,2020,andhra-pradesh
Lenovo,276671,0.016201794681775,4,2020,andhra-pradesh
Others,1212259,0.070989628183419,4,2020,andhra-pradesh
Xiaomi,4644641,0.252924664064762,1,2021,andhra-pradesh
Samsung,3635596,0.19797695817075903,1,2021,andhra-pradesh
Vivo,3245151,0.17671521362241502,1,2021,andhra-pradesh
Oppo,2010506,0.10948242386229401,1,2021,andhra-pradesh
Realme,1531645,0.083405971977484,1,2021,andhra-pradesh
Motorola,518115,0.028214034695451,1,2021,andhra-pradesh
Huawei,455604,0.024809988252388,1,2021,andhra-pradesh
Apple,421002,0.022925730841327003,1,2021,andhra-pradesh
OnePlus,355922,0.019381789094842002,1,2021,andhra-pradesh
Lenovo,277980,0.015137445093543,1,2021,andhra-pradesh
Others,1267571,0.06902578032473,1,2021,andhra-pradesh
Xiaomi,4937684,0.251654243267576,2,2021,andhra-pradesh
Samsung,3798250,0.193581794519671,2,2021,andhra-pradesh
Vivo,3572140,0.18205786124544202,2,2021,andhra-pradesh
Oppo,2173037,0.110751109594588,2,2021,andhra-pradesh
Realme,1817804,0.092646287212541,2,2021,andhra-pradesh
Motorola,503072,0.025639592057552,2,2021,andhra-pradesh
Apple,450689,0.022969837527881003,2,2021,andhra-pradesh
Huawei,440324,0.022441574432983002,2,2021,andhra-pradesh
OnePlus,394851,0.020123995299910002,2,2021,andhra-pradesh
Lenovo,261201,0.013312382889576,2,2021,andhra-pradesh
Others,1271853,0.06482132195227401,2,2021,andhra-pradesh
Xiaomi,5256707,0.24960742924775803,3,2021,andhra-pradesh
Vivo,3981492,0.18905561650868302,3,2021,andhra-pradesh
Samsung,3911188,0.1857173287354,3,2021,andhra-pradesh
Oppo,2382363,0.113123197462779,3,2021,andhra-pradesh
Realme,2134616,0.10135927533932,3,2021,andhra-pradesh
Motorola,486971,0.023123141432118,3,2021,andhra-pradesh
Apple,480993,0.022839284406790002,3,2021,andhra-pradesh
OnePlus,459011,0.021795499674309,3,2021,andhra-pradesh
Huawei,435214,0.020665532188237003,3,2021,andhra-pradesh
Lenovo,245241,0.011644928194808,3,2021,andhra-pradesh
Others,1286102,0.061068766809791,3,2021,andhra-pradesh
Xiaomi,5518238,0.24537466690980703,4,2021,andhra-pradesh
Vivo,4381023,0.194807121285672,4,2021,andhra-pradesh
Samsung,4017419,0.178639059961192,4,2021,andhra-pradesh
Oppo,2580845,0.11476017928564101,4,2021,andhra-pradesh
Realme,2528884,0.11244967490592801,4,2021,andhra-pradesh
Apple,544986,0.024233416213745,4,2021,andhra-pradesh
OnePlus,525373,0.023361302082006003,4,2021,andhra-pradesh
Motorola,474422,0.021095708489681002,4,2021,andhra-pradesh
Huawei,409934,0.018228176947968,4,2021,andhra-pradesh
Lenovo,224391,0.009977798507885001,4,2021,andhra-pradesh
Others,1283514,0.057072895410468005,4,2021,andhra-pradesh
Xiaomi,5743382,0.24073240824411102,1,2022,andhra-pradesh
Vivo,4772765,0.200049241445755,1,2022,andhra-pradesh
Samsung,4124296,0.172868826832614,1,2022,andhra-pradesh
Realme,2864092,0.120047693953265,1,2022,andhra-pradesh
Oppo,2780974,0.11656382394280201,1,2022,andhra-pradesh
Apple,594003,0.024897485957616,1,2022,andhra-pradesh
OnePlus,580737,0.024341444912851003,1,2022,andhra-pradesh
Motorola,463652,0.019433856662711,1,2022,andhra-pradesh
Huawei,401477,0.016827807216135002,1,2022,andhra-pradesh
Lenovo,222586,0.00932963606137,1,2022,andhra-pradesh
Others,1309987,0.054907774770767005,1,2022,andhra-pradesh
Xiaomi,5212,0.242474994184694,1,2018,arunachal-pradesh
Samsung,4354,0.20255873458943902,1,2018,arunachal-pradesh
Vivo,3523,0.163898581065364,1,2018,arunachal-pradesh
Oppo,2608,0.12133054198650801,1,2018,arunachal-pradesh
Realme,1297,0.060339613863689,1,2018,arunachal-pradesh
Apple,628,0.029216096766689,1,2018,arunachal-pradesh
Gionee,563,0.026192137706443002,1,2018,arunachal-pradesh
Lenovo,420,0.0195394277739,1,2018,arunachal-pradesh
OnePlus,403,0.018748546173528002,1,2018,arunachal-pradesh
Motorola,343,0.015957199348685003,1,2018,arunachal-pradesh
Others,2144,0.09974412654105601,1,2018,arunachal-pradesh
Xiaomi,8058,0.245050634066234,2,2018,arunachal-pradesh
Samsung,6633,0.20171517197336,2,2018,arunachal-pradesh
Vivo,5591,0.17002706565702602,2,2018,arunachal-pradesh
Oppo,4204,0.127847215886628,2,2018,arunachal-pradesh
Realme,1943,0.059088282699267004,2,2018,arunachal-pradesh
Apple,869,0.026427029164005002,2,2018,arunachal-pradesh
Gionee,730,0.022199920931788002,2,2018,arunachal-pradesh
Lenovo,581,0.017668704193656,2,2018,arunachal-pradesh
OnePlus,554,0.016847611227686,2,2018,arunachal-pradesh
Motorola,514,0.015631177204026,2,2018,arunachal-pradesh
Others,3206,0.09749718699632001,2,2018,arunachal-pradesh
Xiaomi,11250,0.244980619311005,3,2018,arunachal-pradesh
Samsung,9307,0.20266974434911303,3,2018,arunachal-pradesh
Vivo,8226,0.179129828840207,3,2018,arunachal-pradesh
Oppo,5992,0.130482121858804,3,2018,arunachal-pradesh
Realme,2676,0.058272723313444005,3,2018,arunachal-pradesh
Apple,1153,0.025107791472496,3,2018,arunachal-pradesh
Gionee,1024,0.022298680371063,3,2018,arunachal-pradesh
OnePlus,740,0.016114280736901,3,2018,arunachal-pradesh
Motorola,722,0.015722311746004,3,2018,arunachal-pradesh
Lenovo,629,0.013697138626366002,3,2018,arunachal-pradesh
Others,4203,0.09152475937459101,3,2018,arunachal-pradesh
Xiaomi,15097,0.24408264890383402,4,2018,arunachal-pradesh
Samsung,12580,0.20338873439824,4,2018,arunachal-pradesh
Vivo,11624,0.18793248399405002,4,2018,arunachal-pradesh
Oppo,8328,0.134643988876673,4,2018,arunachal-pradesh
Realme,3613,0.058413632542197,4,2018,arunachal-pradesh
Apple,1517,0.024526288559787,4,2018,arunachal-pradesh
Gionee,1188,0.019207139623617,4,2018,arunachal-pradesh
Motorola,944,0.01526223889284,4,2018,arunachal-pradesh
OnePlus,896,0.014486192847442,4,2018,arunachal-pradesh
Lenovo,831,0.013435297160964001,4,2018,arunachal-pradesh
Others,5234,0.08462135420034901,4,2018,arunachal-pradesh
Xiaomi,18809,0.24440921553594802,1,2019,arunachal-pradesh
Samsung,15537,0.201891965643151,1,2019,arunachal-pradesh
Vivo,14892,0.19351066179814702,1,2019,arunachal-pradesh
Oppo,10738,0.13953246618241302,1,2019,arunachal-pradesh
Realme,4413,0.05734371142326201,1,2019,arunachal-pradesh
Apple,1870,0.024299284015749,1,2019,arunachal-pradesh
